hunt_id,step_order,behaviour,attack_step,attack_technique_or_subtechnique,data_source,entity,telemetry_status,observed_status,detection_status,detection_rule_or_artifact,hunt_query,validation_status,deployment_status,evidence_reference,coverage_reasoning
HC-01,1,Repeated MFA denial/timeout,MFA pressure,T1621,Cloud sign-in/MFA,user,Available,Observed,Detected,R19-01 Repeated MFA Denial or Timeout Followed by Successful Authentication,LQE-01,Source validated,Not available — repository evidence does not prove live deployment,scenario17:mfa-fatigue-assessment.csv,Validated MFA sequence primitive
HC-01,2,Success after failures,Authentication,T1621,Cloud sign-in,user,Available,Observed,Detected,R19-01 Repeated MFA Denial or Timeout Followed by Successful Authentication,LQE-01,Source validated,Not available — repository evidence does not prove live deployment,scenario17:mfa-fatigue-assessment.csv,Terminal event of R19-01
HC-01,3,Post-auth cloud activity,Follow-on,,Cloud audit/resource,user,Available,Observed,Partially detected,07-cloud-identity-and-privilege-investigations/scenario-17-cloud-identity-and-mfa-anomaly-investigation/detections/kql/follow-on-activity-correlation.kql,LQE-01,Syntax reviewed,Not available — repository evidence does not prove live deployment,scenario17:follow-on-activity-analysis.csv,"Scenario 17 already contains a follow-on correlation KQL joining successful sign-in to OfficeActivity on the same user/session within 2h for operations New-InboxRule, Set-InboxRule, FileDownloaded, Add-MailboxPermission, Set-Mailbox. Exact review: 4/5 observed follow-on row(s) match that analytic; 1 do not."
HC-03,1,Suspicious PowerShell execution,Command interpreter,T1059.001,PowerShell/Security/Sysmon,process,Available,Observed,No detection,,LQE-03,Not tested,Not available,scenario10:process-chain.csv;powershell-behaviour-summary.csv,"Stage1 found no Scenario10 rule/query artifact, only detection opportunities"
HC-03,2,Parent-child/file/network follow-on,Execution/C2 context,T1059.001;T1071.001;T1105,Sysmon/process/network,ProcessGuid,Available,Observed,No detection,,LQE-03,Not tested,Not available,scenario10:process-chain.csv;file-activity.csv;network-activity.csv,Correlated telemetry is visible without a dedicated inventoried detection
HC-03,3,HTTP request/response content,Network-content validation,T1071.001,PCAP/proxy/server logs,HTTP session,Not available,Unable to assess,Unable to assess,,LQE-03,Not tested,Not available,scenario10:scope-and-gaps.csv,HTTP bodies/PCAP/proxy/server logs are explicitly unavailable
HC-05,1,Remote authentication,Authentication,T1078,Windows Security,account,Available,Observed,Partially detected,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Syntax reviewed,Not available — repository evidence does not prove live deployment,scenario13:authentication-remote-service-evidence.csv,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-05,2,TCP/445 SMB connection,Remote services,T1021.002,Network/PCAP,source-target,Available,Observed,Partially detected,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Syntax reviewed,Not available — repository evidence does not prove live deployment,scenario13:network-flow-summary.csv,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-05,3,SVCCTL/service-control,Service execution,T1569.002,SMB/Windows service telemetry,target,Available,Observed,Detected,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_security_smb_svcctl_named_pipe_access.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_system_suspicious_remote_service_shell_stager.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Syntax reviewed,Not available — repository evidence does not prove live deployment,scenario13:pcap-marker-evidence.csv,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-05,4,Remote service process,Remote execution,T1569.002,Endpoint process,target process,Available,Observed,Partially detected,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_security_smb_svcctl_named_pipe_access.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_system_suspicious_remote_service_shell_stager.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Syntax reviewed,Not available — repository evidence does not prove live deployment,scenario13:remote-process-chain.csv,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
