time_utc,source,category,identity,ip_address,ip_role,application_or_activity,result,evidence_class,stable_link,details
2026-06-17T23:55:00Z,Entra sign-in,interactiveUser,USER-001,203.0.113.10,CORP-VPN-01,Microsoft 365,success,Telemetry-confirmed fact,session=SYNID-58B778C066F6; correlation=SYNID-685606C757CA; request=SYNID-3920232D8FA9,MFA completed using number matching.; MFA=success
2026-06-18T01:40:00Z,Entra sign-in,interactiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Microsoft 365,failure,Telemetry-confirmed fact,correlation=SYNID-D86D7128B610; request=SYNID-077BA89FBE76,Primary authentication failed before MFA evaluation.
2026-06-18T01:41:10Z,Entra sign-in,interactiveUser,USER-001,198.51.100.88,ATTACK-IP-02,Microsoft 365,failure,Telemetry-confirmed fact,correlation=SYNID-73F99BDD6FAF; request=SYNID-727C27F56413,Primary authentication failed before MFA evaluation.
2026-06-18T01:44:00Z,Entra sign-in,interactiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Microsoft 365,failure,Telemetry-confirmed fact,correlation=SYNID-76E644E33A63; request=SYNID-CEA3B65DE268,MFA denied; user declined the authentication; MFA=denied
2026-06-18T01:45:05Z,Entra sign-in,interactiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Microsoft 365,failure,Telemetry-confirmed fact,correlation=SYNID-9CAC4B9F9DAA; request=SYNID-5BB2C45DBFAF,MFA timeout; no response received; MFA=timeout
2026-06-18T01:46:10Z,Entra sign-in,interactiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Microsoft 365,failure,Telemetry-confirmed fact,correlation=SYNID-2ECB642556F1; request=SYNID-583DC66D9BF5,MFA denied; user declined the authentication; MFA=denied
2026-06-18T01:47:15Z,Entra sign-in,interactiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Microsoft 365,failure,Telemetry-confirmed fact,correlation=SYNID-7468DB4B174E; request=SYNID-A7FFB9156F76,MFA timeout; no response received; MFA=timeout
2026-06-18T01:49:10Z,Entra sign-in,interactiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Microsoft 365,success,Telemetry-confirmed fact,session=SESSION-001; correlation=CORRELATION-001; request=REQUEST-001,MFA completed using Microsoft Authenticator number matching.; MFA=success
2026-06-18T01:50:10Z,Identity Protection,anonymizedIPAddress,USER-001,198.51.100.77,ATTACK-IP-01,Risk detection,high/atRisk,Platform-generated risk,correlation=CORRELATION-001; request=REQUEST-001,activity=2026-06-18T01:49:10Z; timing=realtime
2026-06-18T01:50:10Z,Identity Protection,unfamiliarFeatures,USER-001,198.51.100.77,ATTACK-IP-01,Risk detection,high/atRisk,Platform-generated risk,correlation=CORRELATION-001; request=REQUEST-001,activity=2026-06-18T01:49:10Z; timing=realtime
2026-06-18T01:51:10Z,Identity Protection,authenticatorPhishing,USER-001,198.51.100.77,ATTACK-IP-01,Risk detection,high/atRisk,Platform-generated risk,correlation=CORRELATION-001; request=REQUEST-001,activity=2026-06-18T01:49:10Z; timing=realtime
2026-06-18T01:52:00Z,Entra sign-in,nonInteractiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Office 365 Exchange Online,success,Telemetry-confirmed fact,session=SESSION-001; correlation=SYNID-499C9F2D5745; request=SYNID-0F6A94477F90,Token refresh completed without additional user interaction.; MFA=satisfied_by_claim
2026-06-18T01:55:00Z,Entra sign-in,nonInteractiveUser,USER-001,198.51.100.77,ATTACK-IP-01,SharePoint Online,success,Telemetry-confirmed fact,session=SESSION-001; correlation=SYNID-1CDE1E42EDD2; request=SYNID-B5DEE75A3998,Token refresh completed without additional user interaction.; MFA=satisfied_by_claim
2026-06-18T02:02:00Z,Entra sign-in,nonInteractiveUser,USER-001,198.51.100.77,ATTACK-IP-01,Microsoft Graph,success,Telemetry-confirmed fact,session=SESSION-001; correlation=SYNID-C008C1A3760C; request=SYNID-B8ADD86C7C9A,Token refresh completed without additional user interaction.; MFA=satisfied_by_claim
2026-06-18T02:08:00Z,Entra sign-in,interactiveUser,USER-001,198.51.100.88,ATTACK-IP-02,Exchange Online,failure,Telemetry-confirmed fact,correlation=SYNID-5D4E10EF2275; request=SYNID-E33AB4730FCD,Legacy authentication was blocked; no token was issued.
2026-06-18T02:12:00Z,Entra directory audit,UserManagement,USER-001,198.51.100.77,ATTACK-IP-01,User registered security info,success,Telemetry-confirmed fact,correlation=CORRELATION-001,target=USER-001
2026-06-18T02:16:00Z,M365 unified audit,Exchange,USER-001,198.51.100.77,ATTACK-IP-01,New-InboxRule,Succeeded,Telemetry-confirmed fact,session=SESSION-001,"object=USER-001; parameters={""DeleteMessage"": true, ""ForwardTo"": ""EXTERNAL-DEST-001"", ""Name"": ""ArchiveInvoices"", ""StopProcessingRules"": true}"
2026-06-18T02:20:00Z,M365 unified audit,SharePoint,USER-001,198.51.100.77,ATTACK-IP-01,FileDownloaded,Succeeded,Telemetry-confirmed fact,session=SESSION-001,"object=https://tenant.example.invalid/sites/finance/FY26-Forecast.xlsx; parameters={""FileName"": ""FY26-Forecast.xlsx"", ""SensitivityLabel"": ""Confidential"", ""Site"": ""Finance""}"
2026-06-18T02:21:00Z,M365 unified audit,SharePoint,USER-001,198.51.100.77,ATTACK-IP-01,FileDownloaded,Succeeded,Telemetry-confirmed fact,session=SESSION-001,"object=https://tenant.example.invalid/sites/finance/Payroll-Summary.xlsx; parameters={""FileName"": ""Payroll-Summary.xlsx"", ""SensitivityLabel"": ""Confidential"", ""Site"": ""Finance""}"
2026-06-18T02:22:00Z,M365 unified audit,SharePoint,USER-001,198.51.100.77,ATTACK-IP-01,FileDownloaded,Succeeded,Telemetry-confirmed fact,session=SESSION-001,"object=https://tenant.example.invalid/sites/finance/Supplier-Bank-Changes.xlsx; parameters={""FileName"": ""Supplier-Bank-Changes.xlsx"", ""SensitivityLabel"": ""Confidential"", ""Site"": ""Finance""}"
2026-06-18T02:55:00Z,Incident ticket,User verification,USER-001,,,SYN-IR-2026-0017,User confirmed the successful sign-in and follow-on actions were unauthorized.,Business/user verification,,The user was in Auckland and had no approved travel to Romania or Germany. | The user denied two unexpected Authenticator prompts and ignored two others. | The user later approved one prompt while attempting to stop repeated notifications. | The Windows 11 Chrome device in the suspicious sign-in is not owned or managed by the organization. | The user did not create the external-forwarding inbox rule or download the listed finance files.
2026-06-18T03:05:00Z,Entra directory audit,UserManagement,ADMIN-001,192.0.2.80,CORP-OFFICE-01,Revoke all refresh tokens for user,success,Telemetry-confirmed fact,correlation=SYNID-BD5E43E2DCB7,target=USER-001
2026-06-18T03:07:00Z,Entra directory audit,UserManagement,ADMIN-001,192.0.2.80,CORP-OFFICE-01,Reset password (by admin),success,Telemetry-confirmed fact,correlation=SYNID-AB4D7D8182D7,target=USER-001
