hunt_id,behaviour,attack_step,data_source,entity,required_telemetry,available_artifact,telemetry_status,evidence_reference,limitation
HC-01,Repeated MFA denial/timeout,MFA pressure,Cloud sign-in/MFA,user,Cloud sign-in/MFA,scenario17:mfa-fatigue-assessment.csv,Available,scenario17:mfa-fatigue-assessment.csv,
HC-01,Success after failures,Authentication,Cloud sign-in,user,Cloud sign-in,scenario17:mfa-fatigue-assessment.csv,Available,scenario17:mfa-fatigue-assessment.csv,
HC-01,Post-auth cloud activity,Follow-on,Cloud audit/resource,user,Cloud audit/resource,scenario17:follow-on-activity-analysis.csv,Available,scenario17:follow-on-activity-analysis.csv,
HC-03,Suspicious PowerShell execution,Command interpreter,PowerShell/Security/Sysmon,process,PowerShell/Security/Sysmon,scenario10:process-chain.csv;powershell-behaviour-summary.csv,Available,scenario10:process-chain.csv;powershell-behaviour-summary.csv,
HC-03,Parent-child/file/network follow-on,Execution/C2 context,Sysmon/process/network,ProcessGuid,Sysmon/process/network,scenario10:process-chain.csv;file-activity.csv;network-activity.csv,Available,scenario10:process-chain.csv;file-activity.csv;network-activity.csv,
HC-03,HTTP request/response content,Network-content validation,PCAP/proxy/server logs,HTTP session,PCAP/proxy/server logs,scenario10:scope-and-gaps.csv,Not available,scenario10:scope-and-gaps.csv,HTTP bodies/PCAP/proxy/server logs are explicitly unavailable
HC-05,Remote authentication,Authentication,Windows Security,account,Windows Security,scenario13:authentication-remote-service-evidence.csv,Available,scenario13:authentication-remote-service-evidence.csv,
HC-05,TCP/445 SMB connection,Remote services,Network/PCAP,source-target,Network/PCAP,scenario13:network-flow-summary.csv,Available,scenario13:network-flow-summary.csv,
HC-05,SVCCTL/service-control,Service execution,SMB/Windows service telemetry,target,SMB/Windows service telemetry,scenario13:pcap-marker-evidence.csv,Available,scenario13:pcap-marker-evidence.csv,
HC-05,Remote service process,Remote execution,Endpoint process,target process,Endpoint process,scenario13:remote-process-chain.csv,Available,scenario13:remote-process-chain.csv,
HC-05,End-to-end lateral-movement sequence,Lateral movement chain,Authentication+network+process,source/target/account,Authentication+network+process,scenario13:attack-timeline.csv,Available,scenario13:attack-timeline.csv,
HC-07,WAF-observed SQLi-family request,Exploit attempt,WAF transaction,source/tx,WAF transaction,scenario15:web-request-timeline.csv,Available,scenario15:web-request-timeline.csv,
HC-07,Burst/multi-rule high-confidence SQLi,Correlated exploit attempt,WAF transaction,source/tx,WAF transaction,scenario15:web-request-timeline.csv,Available,scenario15:web-request-timeline.csv,
HC-07,Lower-frequency/single-rule SQLi candidate,Low-and-slow hunt,WAF transaction,source/UA/path,WAF transaction,scenario15:web-request-timeline.csv,Available,scenario15:web-request-timeline.csv,
HC-08,WAF SQLi attempt,Exploit attempt,WAF,transaction,WAF,scenario15:web-request-timeline.csv,Available,scenario15:web-request-timeline.csv,
HC-08,Application handling/SQL exception,Backend application outcome,Application request/exception log,request,Application request/exception log,scenario15:application-and-database-evidence.csv,Not available,scenario15:application-and-database-evidence.csv,Application log absent
HC-08,SQL query execution/table access,Database outcome,Database/backend audit,DB session,Database/backend audit,scenario15:application-and-database-evidence.csv,Not available,scenario15:application-and-database-evidence.csv,Database audit absent
HC-08,Web shell/child process follow-on,Endpoint impact,Endpoint file/process,web server,Endpoint file/process,scenario15:follow-on-activity-analysis.csv,Not available,scenario15:follow-on-activity-analysis.csv,Endpoint follow-on telemetry absent
HC-09,File collection/staging,Collection/staging,Endpoint file/process,source,Endpoint file/process,scenario16:file-collection-and-staging-analysis.csv,Available,scenario16:file-collection-and-staging-analysis.csv,
HC-09,Compression/encoding pipeline,Archive/transform,Endpoint command/process,process,Endpoint command/process,scenario16:compression-and-encryption-analysis.csv,Available,scenario16:compression-and-encryption-analysis.csv,
HC-09,Structured DNS chunks,DNS exfiltration,DNS/query,domain/query,DNS/query,scenario16:dns-tunnelling-analysis.csv,Available,scenario16:dns-tunnelling-analysis.csv,
HC-09,Transfer outcome/hash match,Exfiltration outcome,Transfer/hash evidence,file/object,Transfer/hash evidence,scenario16:transfer-outcome-assessment.csv,Available,scenario16:transfer-outcome-assessment.csv,
HC-09,Exact process-to-DNS-flow join,Cross-source join,Endpoint socket + DNS/flow stable ID,process-flow,Endpoint socket + DNS/flow stable ID,scenario16:process-to-network-correlation.csv,Partial,scenario16:process-to-network-correlation.csv,No stable endpoint process-to-flow identifier
HC-10,Credential added/changed,Application persistence,Directory audit/credential metadata,app/SP,Directory audit/credential metadata,scenario18:credential-change-analysis.csv,Available,scenario18:credential-change-analysis.csv,
HC-10,SP sign-in after credential change,Application identity auth,SP sign-in,service principal,SP sign-in,scenario18:service-principal-signin-analysis.csv,Available,scenario18:service-principal-signin-analysis.csv,
HC-10,API/resource activity linked to sign-in token,Cloud resource use,API/resource + correlation,app/SP/token,API/resource + correlation,scenario18:precise-cloud-privilege-correlation.csv,Available,scenario18:precise-cloud-privilege-correlation.csv,
HC-10,Exact permission claim for API request,Permission attribution,Per-request token/app-role claim,API request,Per-request token/app-role claim,scenario18:detection-gap-analysis.csv,Not available,scenario18:detection-gap-analysis.csv,Specific permission claim is not logged per API request
HC-12,Privileged membership addition,Account manipulation,Windows Security group events,ATTACKRANGE\T1136.001_Admin,Windows Security group events,scenario11:privilege-change-timeline.csv,Available,scenario11:privilege-change-timeline.csv,
HC-12,Target authentication after change,Post-change use,4624/4625,ATTACKRANGE\T1136.001_Admin,4624/4625,scenario11:field-coverage.csv,Available,scenario11:field-coverage.csv,
HC-12,Explicit credential/special privilege use,Post-change privilege use,4648/4672,ATTACKRANGE\T1136.001_Admin,4648/4672,scenario11:field-coverage.csv,Available,scenario11:field-coverage.csv,
HC-12,Target process execution,Post-change execution,Sysmon Event 1,ATTACKRANGE\T1136.001_Admin,Sysmon Event 1,scenario11:field-coverage.csv,Available,scenario11:field-coverage.csv,
HC-12,Cross-host follow-on,Environment-wide use,Cross-host EDR/network,ATTACKRANGE\T1136.001_Admin,Cross-host EDR/network,scenario11:field-coverage.csv,Not available,scenario11:field-coverage.csv,Cross-host follow-on telemetry is explicitly unavailable
