file_name	category	bytes	source_sha256	receiver_sha256	size_match	sha256_match	result
2010_invoices.xlsx	Billing invoices	13900	f921656b23fa4a5a6f41ebb91b9d972019ec82a4eb735a92c3c1d3665df06817	f921656b23fa4a5a6f41ebb91b9d972019ec82a4eb735a92c3c1d3665df06817	true	true	Confirmed exfiltration
2011_invoices.xlsx	Billing invoices	16411	5e7b347bd9670405bf2707233c6e693c2d55fee73e3c09138f8655330246d2a2	5e7b347bd9670405bf2707233c6e693c2d55fee73e3c09138f8655330246d2a2	true	true	Confirmed exfiltration
2012_invoices.xlsx	Billing invoices	10259	62e360320f00455679d98effe63971645d190508c1ef1438ff188b21d16168de	62e360320f00455679d98effe63971645d190508c1ef1438ff188b21d16168de	true	true	Confirmed exfiltration
2013_invoices.xlsx	Billing invoices	18213	9cf8666d105c0e0b43c1a551b7a164b8c8b734f79da82d793eaca3cd0ff4b5bf	9cf8666d105c0e0b43c1a551b7a164b8c8b734f79da82d793eaca3cd0ff4b5bf	true	true	Confirmed exfiltration
2014_invoices.xlsx	Billing invoices	18962	9a5030620765a89f979dcd5f93bfdd56ab1babfb80d1823fe7fc8d9216c7e848	9a5030620765a89f979dcd5f93bfdd56ab1babfb80d1823fe7fc8d9216c7e848	true	true	Confirmed exfiltration
2015_invoices.xlsx	Billing invoices	19786	1f1f95b056237e2d641201468c152b1736cdab5cb281c3daac300b94848c09ca	1f1f95b056237e2d641201468c152b1736cdab5cb281c3daac300b94848c09ca	true	true	Confirmed exfiltration
2016_invoices.xlsx	Billing invoices	16268	a7f4b999b037fc1a90671e264a5efc0c526b241151fafb47dce280192e4da3a5	a7f4b999b037fc1a90671e264a5efc0c526b241151fafb47dce280192e4da3a5	true	true	Confirmed exfiltration
2017_invoices.xlsx	Billing invoices	9969	cd526c68314e0fe651059bd10547bd1c150a72a24d0d2e9f6996f4a508173bcc	cd526c68314e0fe651059bd10547bd1c150a72a24d0d2e9f6996f4a508173bcc	true	true	Confirmed exfiltration
2018_invoices.xlsx	Billing invoices	15818	83bbb7e6f1e9124490806f0bb15761b18c411ac1e8b03d404ba5185de6459226	83bbb7e6f1e9124490806f0bb15761b18c411ac1e8b03d404ba5185de6459226	true	true	Confirmed exfiltration
2019_invoices.xlsx	Billing invoices	21829	48f2d45fd3954ca4b52066f1f52423b2cf47031e0358c46a2638217e25e808ec	48f2d45fd3954ca4b52066f1f52423b2cf47031e0358c46a2638217e25e808ec	true	true	Confirmed exfiltration
2020_invoices.xlsx	Billing invoices	19299	67c678e97af6acfa1785e938167999aeab6e56033151bee28dc8136938751e54	67c678e97af6acfa1785e938167999aeab6e56033151bee28dc8136938751e54	true	true	Confirmed exfiltration
HuangInc.docx	Business reports	24285	c28271156561d04604dc15f460fe3543ac07c5674bcc1f054bf976e758489341	c28271156561d04604dc15f460fe3543ac07c5674bcc1f054bf976e758489341	true	true	Confirmed exfiltration
VasquezWangAndFox.docx	Business reports	24374	dcde13f668162c6647bd47404680fa7e341f7edf4b86f2747ea663e33b25fa91	dcde13f668162c6647bd47404680fa7e341f7edf4b86f2747ea663e33b25fa91	true	true	Confirmed exfiltration
customers_2013.xlsx	Customer records	103007	cdbdb6b99b45791dfeb4324278f7921081dd3756c8c63f015a2a754d0e233dc8	cdbdb6b99b45791dfeb4324278f7921081dd3756c8c63f015a2a754d0e233dc8	true	true	Confirmed exfiltration
customers_2014.xlsx	Customer records	86938	b566da77088b2d4bf0e519c043bdc154c88b79bd0d5b4846c2ef55efea0bb708	b566da77088b2d4bf0e519c043bdc154c88b79bd0d5b4846c2ef55efea0bb708	true	true	Confirmed exfiltration
customers_2015.xlsx	Customer records	108340	6496c5b649c186582f11f85083c66cfba50e62d77202fe9758385517e32a21b0	6496c5b649c186582f11f85083c66cfba50e62d77202fe9758385517e32a21b0	true	true	Confirmed exfiltration
customers_2016.xlsx	Customer records	103338	ea30a8463b0c71a427232ed3c5e9f1e699ec51d132fc4ee0a7982f2d5dc8c78e	ea30a8463b0c71a427232ed3c5e9f1e699ec51d132fc4ee0a7982f2d5dc8c78e	true	true	Confirmed exfiltration
customers_2017.xlsx	Customer records	106710	f655b20f2e5b51090ac51c2070773b6df6b611968e10a08c2aee15e8b9d731d5	f655b20f2e5b51090ac51c2070773b6df6b611968e10a08c2aee15e8b9d731d5	true	true	Confirmed exfiltration
customers_2018.xlsx	Customer records	95763	07623164dd435568a54f636400ee846a8838aed46678096fc3547bd4b6c167b0	07623164dd435568a54f636400ee846a8838aed46678096fc3547bd4b6c167b0	true	true	Confirmed exfiltration
customers_2019.xlsx	Customer records	106266	6a90d6b5dc15e54a922b0513df8f0da974e8bd5ce56b38f2e24b88fbebea1fa7	6a90d6b5dc15e54a922b0513df8f0da974e8bd5ce56b38f2e24b88fbebea1fa7	true	true	Confirmed exfiltration
customers_2020.xlsx	Customer records	107527	8e4567ec18f26d3a917d202e1b9947980b58df47961c88466bc28716a7136d8a	8e4567ec18f26d3a917d202e1b9947980b58df47961c88466bc28716a7136d8a	true	true	Confirmed exfiltration
customers_2021.xlsx	Customer records	108439	a1a17627c497cd68eb4fd21f3a4d298a4ecb2dc1e5b3e49ba09b13b9aa70557b	a1a17627c497cd68eb4fd21f3a4d298a4ecb2dc1e5b3e49ba09b13b9aa70557b	true	true	Confirmed exfiltration
payroll_2013.xlsx	Payroll / management	98688	04cbe3d0d861da7952940d3d35c4640be3221ad3bcb44cbcc1db1bdf6eb4fc07	04cbe3d0d861da7952940d3d35c4640be3221ad3bcb44cbcc1db1bdf6eb4fc07	true	true	Confirmed exfiltration
payroll_2014.xlsx	Payroll / management	97805	c252c2718f7ef5a28733fdce331f768c092cc7412281df28f03b4d3094a19250	c252c2718f7ef5a28733fdce331f768c092cc7412281df28f03b4d3094a19250	true	true	Confirmed exfiltration
payroll_2015.xlsx	Payroll / management	99166	5ead7b118f75c8d884830f63d22f8e10caac3b4cdd4bf3daccfab08df0057b0c	5ead7b118f75c8d884830f63d22f8e10caac3b4cdd4bf3daccfab08df0057b0c	true	true	Confirmed exfiltration
payroll_2016.xlsx	Payroll / management	98705	7f8cf2e9014c281c2d2f733e80250dcdec1ddb6db29702c9c0952ff6d2a141b2	7f8cf2e9014c281c2d2f733e80250dcdec1ddb6db29702c9c0952ff6d2a141b2	true	true	Confirmed exfiltration
payroll_2017.xlsx	Payroll / management	98605	7d02bd15ad789bc260d185d5323f18e103b7958f022fef7d5e1a8a1038dbb83d	7d02bd15ad789bc260d185d5323f18e103b7958f022fef7d5e1a8a1038dbb83d	true	true	Confirmed exfiltration
payroll_2018.xlsx	Payroll / management	96621	3c117bd53a952b0d7fafad67a2dfe269905bc13a07d47282f9c901949484b069	3c117bd53a952b0d7fafad67a2dfe269905bc13a07d47282f9c901949484b069	true	true	Confirmed exfiltration
payroll_2019.xlsx	Payroll / management	97978	9d6312a5b08804d3660ec58f03c6fcb001e2c795ca8a58d6f6d9599d49cf46b9	9d6312a5b08804d3660ec58f03c6fcb001e2c795ca8a58d6f6d9599d49cf46b9	true	true	Confirmed exfiltration
payroll_2020.xlsx	Payroll / management	99587	d2b636b840fcb5b95048014e6558c8630afb2a52bebfc81089f4f1ec763162c3	d2b636b840fcb5b95048014e6558c8630afb2a52bebfc81089f4f1ec763162c3	true	true	Confirmed exfiltration
payroll_2021.xlsx	Payroll / management	99946	0596acc67bbfd874457c837fb9f93555d8c4d0f2e27d86c74d6679fa4aa7a792	0596acc67bbfd874457c837fb9f93555d8c4d0f2e27d86c74d6679fa4aa7a792	true	true	Confirmed exfiltration
