hunt_id,behaviour,attack_step,attack_technique_or_subtechnique,data_source,entity,detection_rule_or_artifact,hunt_query,telemetry_status,detection_status,validation_status,deployment_status,coverage_reasoning
HC-01,Repeated MFA denial/timeout,MFA pressure,T1621,Cloud sign-in/MFA,user,R19-01 Repeated MFA Denial or Timeout Followed by Successful Authentication,LQE-01,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,Validated MFA sequence primitive
HC-01,Success after failures,Authentication,T1621,Cloud sign-in,user,R19-01 Repeated MFA Denial or Timeout Followed by Successful Authentication,LQE-01,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,Terminal event of R19-01
HC-01,Post-auth cloud activity,Follow-on,,Cloud audit/resource,user,07-cloud-identity-and-privilege-investigations/scenario-17-cloud-identity-and-mfa-anomaly-investigation/detections/kql/follow-on-activity-correlation.kql,LQE-01,Available,Partially detected,Syntax reviewed,Not available — repository evidence does not prove live deployment,"Scenario 17 already contains a follow-on correlation KQL joining successful sign-in to OfficeActivity on the same user/session within 2h for operations New-InboxRule, Set-InboxRule, FileDownloaded, Add-MailboxPermission, Set-Mailbox. Exact review: 4/5 observed follow-on row(s) match that analytic; 1 do not."
HC-03,Suspicious PowerShell execution,Command interpreter,T1059.001,PowerShell/Security/Sysmon,process,,LQE-03,Available,No detection,Not tested,Not available,"Stage1 found no Scenario10 rule/query artifact, only detection opportunities"
HC-03,Parent-child/file/network follow-on,Execution/C2 context,T1059.001;T1071.001;T1105,Sysmon/process/network,ProcessGuid,,LQE-03,Available,No detection,Not tested,Not available,Correlated telemetry is visible without a dedicated inventoried detection
HC-03,HTTP request/response content,Network-content validation,T1071.001,PCAP/proxy/server logs,HTTP session,,LQE-03,Not available,Unable to assess,Not tested,Not available,HTTP bodies/PCAP/proxy/server logs are explicitly unavailable
HC-05,Remote authentication,Authentication,T1078,Windows Security,account,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Available,Partially detected,Syntax reviewed,Not available — repository evidence does not prove live deployment,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-05,TCP/445 SMB connection,Remote services,T1021.002,Network/PCAP,source-target,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Available,Partially detected,Syntax reviewed,Not available — repository evidence does not prove live deployment,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-05,SVCCTL/service-control,Service execution,T1569.002,SMB/Windows service telemetry,target,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_security_smb_svcctl_named_pipe_access.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_system_suspicious_remote_service_shell_stager.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Available,Detected,Syntax reviewed,Not available — repository evidence does not prove live deployment,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-05,Remote service process,Remote execution,T1569.002,Endpoint process,target process,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_security_smb_svcctl_named_pipe_access.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/sigma/win_system_suspicious_remote_service_shell_stager.yml;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Available,Partially detected,Syntax reviewed,Not available — repository evidence does not prove live deployment,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-05,End-to-end lateral-movement sequence,Lateral movement chain,T1021.002;T1569.002,Authentication+network+process,source/target/account,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/microsoft-sentinel/smbexec_lateral_movement_correlation.kql;05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/detections/splunk/smbexec_lateral_movement_correlation.spl,LQE-05,Available,Partially detected,Syntax reviewed,Not available — repository evidence does not prove live deployment,"Scenario 13 already contains Sentinel and Splunk multi-event correlation logic for 4624 Type 3 + 5145 IPC$\svcctl + 4697 within two minutes under correlated user/logon context. The remote child-process/follow-on stage is covered by separate behavioural artifacts rather than being joined into the same correlation, so the full expanded hunt chain is Partially detected."
HC-07,WAF-observed SQLi-family request,Exploit attempt,T1190,WAF transaction,source/tx,06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/detections/sigma/waf_high_confidence_sqli_request.yml;06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/detections/sigma/waf_rule_942100_context_review.yml;06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/detections/sigma/waf_time_based_sqli.yml,LQE-07,Available,Partially detected,Not tested,Not available — repository evidence does not prove live deployment,Source detection artifacts exist but deployment is unknown
HC-07,Burst/multi-rule high-confidence SQLi,Correlated exploit attempt,T1190,WAF transaction,source/tx,R19-03 High-Confidence or Correlated SQL Injection Activity,LQE-07,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,"Corrected R19-03 local semantic approximation: Branch A = >=2 distinct SQLi rule IDs in one transaction OR a specialist SQLi rule; Branch B = >=20 distinct SQLi transaction IDs for the same source_ip+host in a rolling 5-minute window. Because the specification states that single generic Rule 942100-only events are retained for review/logging, a single 942xxx rule other than 942100 is treated as the local specialist-rule approximation."
HC-07,Lower-frequency/single-rule SQLi candidate,Low-and-slow hunt,T1190,WAF transaction,source/UA/path,LQE-07,LQE-07,Available,Hunt only,Not tested,Not available — repository evidence does not prove live deployment,No transaction remains outside corrected R19-03 high-confidence logic in the reviewed dataset.
HC-08,WAF SQLi attempt,Exploit attempt,T1190,WAF,transaction,R19-03 High-Confidence or Correlated SQL Injection Activity,LQE-08,Available,Detected,Source validated,Not available — repository evidence does not prove live deployment,Request-side attempt is visible
HC-08,Application handling/SQL exception,Backend application outcome,T1190,Application request/exception log,request,,LQE-08,Not available,Unable to assess,Not tested,Not available,Application log absent
HC-08,SQL query execution/table access,Database outcome,T1190,Database/backend audit,DB session,,LQE-08,Not available,Unable to assess,Not tested,Not available,Database audit absent
HC-08,Web shell/child process follow-on,Endpoint impact,T1505.003,Endpoint file/process,web server,,LQE-08,Not available,Unable to assess,Not tested,Not available,Endpoint follow-on telemetry absent
HC-09,File collection/staging,Collection/staging,T1005,Endpoint file/process,source,Scenario16 staging queries,LQE-09,Available,Hunt only,Not tested,Not available — repository evidence does not prove live deployment,Investigation/hunt coverage
