path	category	publish	bytes	sha256
.gitignore	repository control	Yes	359	3f4a535cd07dbadf225b9493a639c8e4154982ce46fcd9822c1e6a3c82bc085f
README.md	documentation	Yes	2161	8d443a5e247c9599a324ca40caf1096fe4fe7444b1330291162559c9d12641d7
attack-chain-reconstruction.md	documentation	Yes	1368	3c733e4b6916ee7ff1536a385e57505ac5cea5d740e1249b13bc60ab09e1987a
attack-stage-assessment.md	documentation	Yes	895	404b9649f7310b4121c8beae221af63460b2a9aa9e9ef230e2d509f8eae36d16
containment-strategy.md	documentation	Yes	894	81c1a2e03f733a0f31723b487bf6a0898b9ba6ccf3cae8918e350d3b9066ebff
correlation-analysis.md	documentation	Yes	794	46ccf8cf149542abd828f720b7dcb012f3a3cfaae573912325cc359d600bd39c
detection-coverage-assessment.md	documentation	Yes	878	f5fb8de34120885ac7b02262b148af915425584b1ff827b839fc26109cbc6b2e
detection-improvement-backlog.md	documentation	Yes	782	90dfff83a24f164bbb3baa45be17ed8e9de92c9a93434d0619073c49905162cf
entity-analysis.md	documentation	Yes	1218	779705f6a88608a71a8475cbc68c1a2faa6c14b4c35cfb33a2e451c948c8674f
evidence/processed/attack-mapping.csv	processed evidence	Yes	2477	f66cb58663dcfafa703173f5cd70ed50f06062862a601ba5cb7639022e5c879c
evidence/processed/attack-stage-assessment.csv	processed evidence	Yes	3710	2e1a62886178a6abced3eecde4fbf01e0dd493a7463534fab10ffd6cc10e91af
evidence/processed/containment-decision-register.csv	processed evidence	Yes	2472	6d3be903c157d8588950a844c7d82d6c99cf92f74dd0a9d96b728fbe169d71a9
evidence/processed/correlation-matrix.csv	processed evidence	Yes	2821	f2033eab39c7bc7888510b027ede6eebc74fedf5082d6c16722269b87678c853
evidence/processed/dataset-boundary-record.tsv	processed evidence	Yes	736	8c6575b230d8d53a5fe079c0f6c71073a681a5de2d8ec40065e35980fb8778d1
evidence/processed/detection-coverage-matrix.csv	processed evidence	Yes	1517	853fd716ac49ed2219868da955ede98d0a21c7b68ff889ae218c175f83956f37
evidence/processed/detection-improvement-backlog.csv	processed evidence	Yes	2495	9e2c923c49bd1d9439b5d019208aab2c8ae44561a6ff7721b99f1598519e0bc2
evidence/processed/entity-inventory.csv	processed evidence	Yes	1932	92bb5930cf2a16c06c671ab21c5b1114ebe430faf5fd9907dfcdd8b0a91c8495
evidence/processed/entity-relationship-map.csv	processed evidence	Yes	1094	1824c9e0c95b7c08ff8525c53051510b9a8e10ad0ff6c2068080229caeef0d43
evidence/processed/evidence-inventory.csv	processed evidence	Yes	1524	7f6f1151bed633912e58d2dacdc0d8c2e7131e356ccb12a1c4d33d31fa87dabe
evidence/processed/impact-assessment.csv	processed evidence	Yes	1239	c6a4aa92223a445529a1603c3122f019d8cbfd4be22a44f10f0c3b99a6688ef7
evidence/processed/incident-lead-register.csv	processed evidence	Yes	1185	5f6cbf6235248f02b0eef498119d3486baa2428c8be43f0f3b700b3c0d92fadf
evidence/processed/investigation-limitations.csv	processed evidence	Yes	1328	f3b7eea040e52e6ac0e465cb355f4eb3bbc13168f075e2a26d6008a202ae1bb0
evidence/processed/ioc-observable-register.csv	processed evidence	Yes	1830	35875371b97e4a7f5f295d81d505c9aaaedd11557f4c8925859d74dd3807fb28
evidence/processed/logging-visibility-gap-register.csv	processed evidence	Yes	1730	4662b7f5d3d3ac090bc5a06abecb3c464f7a13e5152784a251d184789fb288bf
evidence/processed/master-timeline.csv	processed evidence	Yes	10624	0f4671fafa38479b59814054517f167ef2ef74f86b1b134a9eb48e72209a3a16
evidence/processed/recovery-validation-matrix.csv	processed evidence	Yes	2012	35b1068593751d1ac1cd3c37c2797e14ab15034b24933a52a03db78a6bb046cf
evidence/processed/sanitised-evidence-excerpts.tsv	processed evidence	Yes	1985	e3f3730e7f49f7dc1c8c8392dc50ae80515a904dca9f093dbd6eaf21f5327d4f
evidence/processed/scope-assessment.csv	processed evidence	Yes	1671	e1a3176b55cf225182e431b1b38c6875cfb2505e95e864efbaa570b00e6965b6
evidence/processed/source-acquisition-manifest.tsv	processed evidence	Yes	2581	0c80a7e2910f7ab683c4053cec964422f9766337d754225344e3ee026d1f6daf
evidence/processed/source-sha256-records.tsv	processed evidence	Yes	930	dd4745c8728eaeb9a4df66b3e2b1452ba28a6462d3262da0c10a51f95324fb0d
evidence/processed/stage2-final-summary.txt	processed evidence	Yes	1632	5b3050823faee06623a12a098fa8b58544995ca48340a4abf89fadaee9af8219
evidence/raw/.gitkeep	repository placeholder	Yes	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
evidence-inventory.md	documentation	Yes	588	5876f1709bca4db409ba70f08288f789b26144aeca3917d0345ecc61ed2a5574
executive-summary.md	documentation	Yes	2169	4dd3eda4df26a289af6be69297b0082e57778cc9e0a72b519ad2641af9070e18
github-publishing-guide.md	documentation	Yes	1196	59498ea8ae824c5d991884da6155d532a3946bcbbc3a29e4ef4ec5f3e4f011e0
