artifact_role	scenario_id	source_commit	git_reproducible	provenance_status	relative_path	record_count	size_bytes	sha256	access_status	notes
hunt_input	10	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	05-endpoint-and-windows-investigations/scenario-10-suspicious-powershell-execution/evidence/processed/process-chain.csv	5	1721	ffbd527505a025a5c2d434a8c2f8b6442e0efc7e014d64457a4795250b175550	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	10	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	05-endpoint-and-windows-investigations/scenario-10-suspicious-powershell-execution/evidence/processed/powershell-behaviour-summary.csv	12	2295	5624fabd834eb5a238da0b229144d298cc7775133f181adbf833f44b42262c5a	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	10	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	05-endpoint-and-windows-investigations/scenario-10-suspicious-powershell-execution/evidence/processed/file-activity.csv	7	2421	eca5eef5cc83bc6613e3831e0a7bdbf58dd3b1484c3a5c75acb28f800abbaab5	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	10	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	05-endpoint-and-windows-investigations/scenario-10-suspicious-powershell-execution/evidence/processed/network-activity.csv	1	557	434dcab77c631035840bac3f1cc1e0c535d980ed2b3c1775c86f7288cd0ce8e7	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	10	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	05-endpoint-and-windows-investigations/scenario-10-suspicious-powershell-execution/evidence/processed/scope-and-gaps.csv	20	2314	a024fa0eed53a9df3d7fe8972fe3bfd2ec9bc59d0f4518d7514042a6ca64a708	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	11	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-11-privileged-account-and-group-membership-change/evidence/processed/privilege-change-timeline.csv	18	6137	9a19c16fbd9033d2b621adfd7915854e455fe795ce79af546f9e8ed6fc99734f	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	11	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-11-privileged-account-and-group-membership-change/evidence/processed/field-coverage.csv	12	1302	6ef35b20bfd06a784330ff4d4c77a06d263e678f4350e079f586e872bae6c6eb	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	11	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-11-privileged-account-and-group-membership-change/evidence/processed/detection-validation.csv	3	501	0101025963d482a9fb808a1fbc9c58280334863fed46985cb67cdb233c3ff875	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	13	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/evidence/processed/authentication-remote-service-evidence.csv	7	1019	f3a8bf40573573e5c6a43b52119f632bc84dea83a5901c231b2065fd0ea2ac69	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	13	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/evidence/processed/network-flow-summary.csv	8	1384	bf00592ceb410fbe8f8608dc5b4b039e95ef76f08301491476731b65e0e76892	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	13	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/evidence/processed/pcap-marker-evidence.csv	12	2337	a487015a7afa9b7480ba651cf5ea3a454e9494cec0a866c708df4b22e887af41	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	13	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/evidence/processed/remote-process-chain.csv	4	1490	09d1cb47b216cb343b8d19e6139d8087fae47b711dd49bd90d10a3e06f78ef8c	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	13	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/evidence/processed/attack-timeline.csv	10	2774	a9dbb8344e2f93c47bd0b6994851f8cc7ecb09de30843d494c786544040da64c	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	13	not_available	false	historical_hash_only_no_reachable_git_blob	05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services/evidence/processed/host-to-host-scope.csv	3	920	b51a79b621032ff7c54b320013c1ee6df1e7de6a2d282f347b0a1cf2e0a9b099	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	15	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/evidence/processed/web-request-timeline.csv	3465	1697912	641a24f02b1534f0e5a99546cca367d7fad88fde9951f04502b198fad61ae063	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	15	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/evidence/processed/application-and-database-evidence.csv	4	820	9939e60101c864fec0d0cfcdedb87ea4bfaa49de9ffaf21ee47eb4eb1d71bf59	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	15	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/evidence/processed/request-outcome-assessment.csv	5	1581	4e7196b3937d980b951b5b39a0c44b919ff65dc8bd01b19a730d1463bc97ee99	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	15	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation/evidence/processed/follow-on-activity-analysis.csv	5	657	c33a0e31150e5b5e26b377e99a8f42a75b79f19770e3d4e64846fe6d88c8722f	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	16	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/evidence/processed/file-collection-and-staging-analysis.csv	5	788	9552226b8efcdb60ae0da152835b94e69ceb06a5b9795bc1446fa195b27ffc2d	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	16	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/evidence/processed/compression-and-encryption-analysis.csv	5	753	1fd99caaaed034820959615c49ab6f4f7a199cb13feb9d2fab460ab3d25ae4c2	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	16	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/evidence/processed/process-to-network-correlation.csv	4	949	43c75bed5d3a32e8acff39401d9067070c895bb217a74dfe434527ce77275c82	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	16	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/evidence/processed/dns-tunnelling-analysis.csv	13	1335	f6231143062fe85a5f650804891df33ae75394419577eadba3249b9f99fb5882	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	16	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/evidence/processed/destination-and-domain-summary.csv	5	753	df6e0ae2272c7d8c733e175cb052fdff5d9d2da9a2b610ae5a56dddd697bda31	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	16	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/evidence/processed/transfer-outcome-assessment.csv	32	5139	75e3cba649ca39b5ce0f30994702a3dab1a2f225604d3a92b03b153e01381995	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	16	not_available	false	historical_hash_only_no_reachable_git_blob	06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation/evidence/processed/detection-gap-analysis.csv	8	1544	8447b196d2d023e6f67c5b8b0c8941b962651729e1a169a3bba72343fef7dee0	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	17	not_available	false	historical_hash_only_no_reachable_git_blob	07-cloud-identity-and-privilege-investigations/scenario-17-cloud-identity-and-mfa-anomaly-investigation/evidence/processed/mfa-fatigue-assessment.csv	1	550	a35f9feb6060ef233dccb628c7dc34de4cdfbad9c27b90232a6441b23dc3c0b3	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	17	not_available	false	historical_hash_only_no_reachable_git_blob	07-cloud-identity-and-privilege-investigations/scenario-17-cloud-identity-and-mfa-anomaly-investigation/evidence/processed/follow-on-activity-analysis.csv	8	2764	0982b74b5469736113dc9b70abe417a690511cbe5a6f00f200197529d620fddd	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	17	not_available	false	historical_hash_only_no_reachable_git_blob	07-cloud-identity-and-privilege-investigations/scenario-17-cloud-identity-and-mfa-anomaly-investigation/evidence/processed/cloud-identity-event-timeline.csv	25	7124	9ae65e42a349df2ca34c969ac1e2b1779b2b459eedc2c2c2986a0d980eeddea1	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	17	not_available	false	historical_hash_only_no_reachable_git_blob	07-cloud-identity-and-privilege-investigations/scenario-17-cloud-identity-and-mfa-anomaly-investigation/evidence/processed/correlation-and-session-analysis.csv	5	1114	8fe0755d7dd92ad825b6bcf4ff3493d9d303287b658d1c285cce5199327a88bf	Read	Original processed hunt input; recorded SHA-256 is preserved from the Scenario 20 analysis ledger, but no reachable Git commit matches this blob. Treat as historical local-analysis provenance, not Git-reproducible source evidence.
hunt_input	18	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/evidence/processed/credential-change-analysis.csv	5	1699	55bcf632d1de6ac6208b22f206b9096b5c5a0d30a8b060a4fa94c8b69a5543f5	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	18	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/evidence/processed/suspicious-credential-candidates.csv	5	2331	42f3ac46ba7361b4f4ec063d40b40430853b3d593961219e79d6c59a5801db74	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	18	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/evidence/processed/service-principal-signin-analysis.csv	4	2205	4abfd358815f3a76a436cd62b771b101e11a9b3f310ee80b0e0bd8f54f1bf3c4	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	18	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/evidence/processed/api-and-resource-activity-analysis.csv	7	3494	b60988fe516c49b39c7da6f667994ba52d5af88444e33aef00913f8ce7ca8c0f	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	18	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/evidence/processed/precise-cloud-privilege-correlation.csv	21	7699	93b10fd077565620be4b23893697f5635a1ff52ffd7df685c532d11baf770bf9	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	18	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse/evidence/processed/detection-gap-analysis.csv	6	808	f6b2c4c3d6b09e73e340591b9d67e8e51fc0f87d3374196186758f594c3bf268	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
hunt_input	19	7f0f92b79a83f3ba48807fcfe04b31143eee989a	true	verified_committed_blob	08-detection-engineering-and-threat-hunting/scenario-19-detection-rule-development-and-false-positive-tuning/evidence/processed/selected-rule-inventory.csv	6	2741	6ccfcfcf09d27212523a0052006e2829f90c643ff33b322fab5d52fea000aaf6	Read	Original processed hunt input; recorded SHA-256 verified against the listed reachable Git commit.
