dataset,record_count,field,records_with_field
directory_audit,18,_synthetic,18
directory_audit,18,activityDateTime,18
directory_audit,18,activityDisplayName,18
directory_audit,18,additionalDetails,18
directory_audit,18,category,18
directory_audit,18,correlationId,18
directory_audit,18,id,18
directory_audit,18,initiatedBy,18
directory_audit,18,loggedByService,18
directory_audit,18,operationType,18
directory_audit,18,result,18
directory_audit,18,resultReason,18
directory_audit,18,targetResources,18
application_objects,3,_synthetic,3
application_objects,3,appId,3
application_objects,3,createdDateTime,3
application_objects,3,displayName,3
application_objects,3,federatedIdentityCredentials,3
application_objects,3,id,3
application_objects,3,keyCredentials,3
application_objects,3,owners,3
application_objects,3,passwordCredentials,3
application_objects,3,publisherDomain,3
application_objects,3,requiredResourceAccess,3
application_objects,3,signInAudience,3
application_objects,3,verifiedPublisher,3
service_principal_objects,4,_synthetic,4
service_principal_objects,4,accountEnabled,4
service_principal_objects,4,appId,4
service_principal_objects,4,appRoleAssignmentRequired,4
service_principal_objects,4,appRoles,1
service_principal_objects,4,createdDateTime,4
service_principal_objects,4,displayName,4
service_principal_objects,4,federatedIdentityCredentials,3
service_principal_objects,4,id,4
service_principal_objects,4,keyCredentials,3
service_principal_objects,4,oauth2PermissionScopes,1
service_principal_objects,4,owners,1
service_principal_objects,4,passwordCredentials,3
service_principal_objects,4,publisherName,1
service_principal_objects,4,servicePrincipalType,4
oauth_grants,2,_synthetic,2
oauth_grants,2,clientId,2
oauth_grants,2,consentType,2
oauth_grants,2,createdDateTime,2
oauth_grants,2,id,2
oauth_grants,2,principalId,2
oauth_grants,2,resourceId,2
oauth_grants,2,scope,2
app_role_assignments,4,_synthetic,4
app_role_assignments,4,appRoleId,4
app_role_assignments,4,appRoleValue,4
app_role_assignments,4,createdDateTime,4
app_role_assignments,4,id,4
app_role_assignments,4,principalDisplayName,4
app_role_assignments,4,principalId,4
app_role_assignments,4,principalType,4
app_role_assignments,4,resourceDisplayName,4
app_role_assignments,4,resourceId,4
directory_role_assignments,1,_synthetic,1
directory_role_assignments,1,activatedThroughPIM,1
directory_role_assignments,1,assignmentType,1
directory_role_assignments,1,endDateTime,1
directory_role_assignments,1,id,1
directory_role_assignments,1,principalId,1
directory_role_assignments,1,principalType,1
directory_role_assignments,1,roleDefinitionId,1
directory_role_assignments,1,roleDisplayName,1
directory_role_assignments,1,scheduleType,1
directory_role_assignments,1,startDateTime,1
credential_metadata,5,appId,5
credential_metadata,5,applicationObjectId,5
credential_metadata,5,changeTicket,5
credential_metadata,5,credentialType,5
credential_metadata,5,displayName,5
credential_metadata,5,endDateTime,5
credential_metadata,5,keyId,5
credential_metadata,5,materialRecorded,5
credential_metadata,5,servicePrincipalObjectId,5
credential_metadata,5,startDateTime,5
credential_metadata,5,statusAtPackageEnd,5
credential_metadata,5,usage,5
user_signins,2,AppDisplayName,2
user_signins,2,AppId,2
user_signins,2,AuthenticationProtocol,2
user_signins,2,AutonomousSystemNumber,2
user_signins,2,ClientCredentialType,2
user_signins,2,CorrelationId,2
user_signins,2,CreatedDateTime,2
user_signins,2,IPAddress,2
user_signins,2,Id,2
user_signins,2,Location,2
user_signins,2,OriginalRequestId,2
user_signins,2,ResourceDisplayName,2
user_signins,2,ResourceId,2
user_signins,2,RiskLevelDuringSignIn,1
user_signins,2,RiskState,1
user_signins,2,SignInEventTypes,2
user_signins,2,Status,2
user_signins,2,UniqueTokenIdentifier,2
user_signins,2,UserDisplayName,2
user_signins,2,UserId,2
user_signins,2,UserPrincipalName,2
user_signins,2,_synthetic,2
service_principal_signins,4,AADTenantId,4
service_principal_signins,4,AppId,4
service_principal_signins,4,AuthenticationProtocol,4
service_principal_signins,4,AutonomousSystemNumber,4
service_principal_signins,4,ClientCredentialType,4
service_principal_signins,4,CorrelationId,4
service_principal_signins,4,CreatedDateTime,4
service_principal_signins,4,FederatedCredentialId,4
service_principal_signins,4,IPAddress,4
service_principal_signins,4,Id,4
service_principal_signins,4,Location,4
service_principal_signins,4,OriginalRequestId,4
service_principal_signins,4,ResourceDisplayName,4
service_principal_signins,4,ResourceId,4
service_principal_signins,4,ResourceServicePrincipalId,4
service_principal_signins,4,ResultDescription,4
service_principal_signins,4,ResultType,4
service_principal_signins,4,ServicePrincipalCredentialKeyId,4
service_principal_signins,4,ServicePrincipalCredentialThumbprint,4
service_principal_signins,4,ServicePrincipalId,4
service_principal_signins,4,ServicePrincipalName,4
service_principal_signins,4,SignInEventTypes,4
service_principal_signins,4,TenantId,4
service_principal_signins,4,TimeGenerated,4
service_principal_signins,4,UniqueTokenIdentifier,4
service_principal_signins,4,_synthetic,4
api_activity,7,TimeGenerated,7
api_activity,7,UniqueTokenIdentifier,7
api_activity,7,_synthetic,7
api_activity,7,actorObjectId,7
api_activity,7,actorType,7
api_activity,7,appId,7
api_activity,7,autonomousSystemNumber,7
api_activity,7,clientAppId,7
api_activity,7,correlationId,7
api_activity,7,dataAccessOutcome,7
api_activity,7,location,7
api_activity,7,operation,7
api_activity,7,operationId,7
api_activity,7,permissionClaimLogged,7
api_activity,7,permissionType,7
api_activity,7,requestId,7
api_activity,7,resourceDisplayName,7
api_activity,7,resourceId,7
api_activity,7,responseBytes,7
api_activity,7,result,7
api_activity,7,servicePrincipalId,7
api_activity,7,sourceIp,7
api_activity,7,targetName,7
api_activity,7,targetObjectId,7
api_activity,7,targetType,7
api_activity,7,tokenType,7
api_activity,7,workload,7
platform_risk,1,AppId,1
platform_risk,1,CorrelationId,1
platform_risk,1,DisplayName,1
platform_risk,1,Id,1
platform_risk,1,OperationName,1
platform_risk,1,RiskDetail,1
platform_risk,1,RiskLevel,1
platform_risk,1,RiskState,1
platform_risk,1,ServicePrincipalType,1
platform_risk,1,TimeGenerated,1
platform_risk,1,_synthetic,1
