rule_id,family,platform,implementation,data_scope,window,grouping,stable_id_semantics,semantic_status,native_test,notes
R19-01,MFA denial/timeout -> success,Sentinel KQL,detections/sentinel/r19-01-mfa-denial-followed-by-success-v3.kql,Entra SigninLogs AuthenticationDetails,Sliding 15m anchored on success,user + source_ip,SessionId enrichment only,Aligned candidate,Not tested,Corrects v2 session-ID dependency.
R19-01,MFA denial/timeout -> success,Splunk SPL,detections/splunk/r19-01-mfa-denial-followed-by-success-v3.spl,Normalized cloud_identity,streamstats time_window=15m,user + src_ip,Session enrichment only,Semantic approximation,Not tested,streamstats ordering and source normalization require native validation.
R19-03,SQLi multi-rule transaction,Sentinel KQL,detections/sentinel/r19-03-sqli-correlation-v3.kql,WAF SQLi rule rows,Transaction scoped,transaction + src + host,distinct WAF rule IDs,Aligned candidate,Not tested,
R19-03,SQLi multi-rule transaction,Splunk SPL,detections/splunk/r19-03-sqli-correlation-v3.spl,WAF SQLi rule rows,Transaction scoped,transaction + src + host,distinct WAF rule IDs,Aligned candidate,Not tested,
R19-03,SQLi multi-rule transaction,Elastic ES|QL,detections/elastic/r19-03-sqli-multi-rule-transaction-v3.esql,WAF SQLi rule rows,Transaction scoped,transaction + src + host,distinct WAF rule IDs,Semantic approximation,Not tested,MV_CONTAINS/version semantics require native validation.
R19-03,SQLi burst,Sentinel KQL,detections/sentinel/r19-03-sqli-correlation-v3.kql,WAF SQLi rule rows,5m fixed bins,source_ip + host,distinct transaction IDs,Semantic approximation,Not tested,Canonical rule is sliding 5m; fixed bins can create boundary misses.
R19-03,SQLi burst,Splunk SPL,detections/splunk/r19-03-sqli-correlation-v3.spl,WAF SQLi rule rows,5m fixed bins,source_ip + host,distinct transaction IDs,Semantic approximation,Not tested,Same fixed-bin boundary limitation.
R19-03,SQLi burst,Elastic ES|QL,detections/elastic/r19-03-sqli-burst-v3.esql,WAF SQLi rule rows,5m fixed bins,source_ip + host,distinct transaction IDs,Semantic approximation,Not tested,Same fixed-bin boundary limitation.
R19-04,Credential add -> SP sign-in,Sentinel KQL,detections/sentinel/r19-04-credential-followed-by-sp-signin-v3.kql,AuditLogs + AADServicePrincipalSignInLogs,24h,service_principal_id + credential_id,Both stable IDs required,Aligned candidate,Not tested,Corrects prior credential-only join.
R19-04,Credential add -> SP sign-in,Splunk SPL,detections/splunk/r19-04-credential-followed-by-sp-signin-v3.spl,entra audit + SP sign-in,24h,service_principal_id + credential_id,Both stable IDs required,Aligned candidate,Not tested,Vendor field normalization must be verified.
R19-04,Credential add -> SP sign-in,Elastic ES|QL,detections/elastic/r19-04-credential-followed-by-sp-signin-v3.esql,entra audit + SP sign-in,24h candidate,service_principal_id + credential_id,Both stable IDs required,Semantic approximation,Not tested,Date arithmetic and vendor field mappings require native validation.
R19-02,Scheduled task -> SYSTEM PowerShell,Sigma,two Sigma primitives + canonical rule spec,Windows Security/process telemetry,No native correlation rule in package,host + task + process lineage,Task/ProcessGuid preferred,Primitive only,Not tested,Sigma primitives are not the complete R19-02 semantic rule.
R19-05,Privileged group membership addition,Sigma,detections/sigma/r19-05-privileged-group-membership-addition.yml,Windows Security,N/A,event + governed group identity,Group SID/object ID expected after enrichment,Aligned candidate,Not tested,Sigma primitive cannot perform external privileged-group inventory enrichment.
R19-06,Structured DNS chunk transfer,Sigma,detections/sigma/r19-06-structured-dns-chunk-event-primitive.yml,DNS events,Full 5m correlation not represented,source + destination/domain + transfer object,Parsed chunk index + exact dedup,Primitive only,Not tested,Completion marker intentionally not required.
