field	value
case_type	Source-Derived Enterprise Adversary Emulation Investigation
primary_dataset	OTRF APT29 ATT&CK Evaluations Day 1
upstream_commit	b5989e17465753f46433e77f795f651453c01279
day1_scope	IN SCOPE
day2_scope	OUT OF PRIMARY SCOPE
host_archive_bytes	13944972
host_extracted_json_bytes	385334029
host_json_working_path	evidence/working/host/apt29_evals_day1_manual_2020-05-01225525.json
raw_policy	Source archives are local/read-only and Git-ignored
working_policy	Extracted/normalised working data are Git-ignored
processed_policy	Small derived evidence and integrity records are publishable after validation
ground_truth_policy	Emulation plan is validation/reference only; it does not substitute for telemetry
