time_utc,time_basis,record_number,channel,event_id,host,user,pid,process_guid,summary,evidence_status
2020-09-04T20:09:55.035Z,Sysmon UtcTime,251079,Microsoft-Windows-Sysmon/Operational,1,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2440,{860ba2e3-9f13-5f52-2603-000000000400},explorer.exe launched wscript.exe with launcher.vbs,Confirmed
2020-09-04T20:09:55.760Z,Sysmon UtcTime,251258,Microsoft-Windows-Sysmon/Operational,1,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},wscript.exe launched hidden encoded PowerShell,Confirmed
2020-09-04T20:09:58.627Z,Sysmon UtcTime,251530;251531,Microsoft-Windows-Sysmon/Operational,11,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},PowerShell created two __PSScriptPolicyTest files,Confirmed benign PowerShell side effect
2020-09-04T20:09:58.846Z,Sysmon UtcTime,251566,Microsoft-Windows-Sysmon/Operational,23,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},PowerShell deleted the temporary .ps1 policy-test file,Confirmed benign PowerShell side effect
2020-09-04T20:09:58.877Z,Sysmon UtcTime,251567,Microsoft-Windows-Sysmon/Operational,23,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},PowerShell deleted the temporary .psm1 policy-test file,Confirmed benign PowerShell side effect
2020-09-04T20:09:59.621Z,Sysmon UtcTime,251809,Microsoft-Windows-Sysmon/Operational,3,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},PowerShell opened an outbound TCP connection to 10.10.10.5 port 80,Confirmed
2020-09-04T20:10:00.327Z,normalised @timestamp,1948,Microsoft-Windows-PowerShell/Operational,4104,WORKSTATION5.theshire.local,S-1-5-21-2079883792-3656946353-945924832-1104,2316,{860ba2e3-9f13-5f52-2703-000000000400},Initial stager attempted logging and AMSI impairment then DownloadData decrypt and IEX,Confirmed code; bypass outcome unable to confirm
2020-09-04T20:10:01.604Z,normalised @timestamp,1364,Windows PowerShell,800,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},Same HostId and RunspaceId recorded downloaded Empire-compatible negotiation and agent code,Confirmed
2020-09-04T20:10:02.693Z,normalised @timestamp,1962,Microsoft-Windows-PowerShell/Operational,4103,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},Get-WmiObject queried Win32_NetworkAdapterConfiguration,Confirmed
2020-09-04T20:10:02.694Z,normalised @timestamp,1963,Microsoft-Windows-PowerShell/Operational,4103,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},Get-WmiObject queried Win32_OperatingSystem,Confirmed
2020-09-04T20:10:22.845Z,Sysmon UtcTime,251944,Microsoft-Windows-Sysmon/Operational,1,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,9152,{860ba2e3-9f2e-5f52-2a03-000000000400},PowerShell PID 2316 launched whoami.exe,Confirmed
2020-09-04T20:10:23.910Z,normalised @timestamp,1417,Windows PowerShell,800,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},Invoke-Expression received parameter value whoami,Confirmed
2020-09-04T20:10:23.918Z,normalised @timestamp,1999,Microsoft-Windows-PowerShell/Operational,4103,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},PowerShell recorded whoami output theshire\\pgustavo and command completion,Confirmed
2020-09-04T20:10:49.124Z,normalised @timestamp,1463,Windows PowerShell,800,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,2316,{860ba2e3-9f13-5f52-2703-000000000400},Agent task URI selection was still being logged at the end of the capture,Confirmed within capture
