scenario_id,scenario_directories,public_files_scanned,detection_related_files,query_related_files,processed_or_sanitised_files,existing_rule_entries,candidate_fixture_entries,attack_technique_reference_count,attack_technique_references,false_positive_guidance_file_count,stage1_interpretation
01,01-siem-foundations/scenario-01-ssh-invalid-user,10,0,1,2,4,0,2,T1021.004;T1110.001,1,"Inventory only; rule correctness, evidence quality, testability and portability require review"
02,02-soc-alert-triage/scenario-02-ssh-repeated-failure,10,0,0,2,4,0,2,T1021.004;T1110.001,4,"Inventory only; rule correctness, evidence quality, testability and portability require review"
03,02-soc-alert-triage/scenario-03-benign-authentication-failure,12,0,0,2,3,1,2,T1021.004;T1110.001,7,"Inventory only; rule correctness, evidence quality, testability and portability require review"
04,02-soc-alert-triage/scenario-04-port-scanning-investigation,14,1,0,9,3,1,2,T1046;T1595,2,"Inventory only; rule correctness, evidence quality, testability and portability require review"
05,03-malware-traffic-analysis/scenario-05-malware-traffic-analysis-network-security-monitoring,44,1,0,1,5,1,3,T1071;T1219;T1571,5,"Inventory only; rule correctness, evidence quality, testability and portability require review"
06,04-email-and-identity-investigations/scenario-06-phishing-email-investigation,18,1,0,1,2,1,6,T1105;T1204;T1204.001;T1204.002;T1566;T1566.002,2,"Inventory only; rule correctness, evidence quality, testability and portability require review"
07,04-email-and-identity-investigations/scenario-07-suspicious-login-and-possible-account-compromise,11,1,0,3,8,3,6,T1078;T1078.004;T1185;T1539;T1557;T1566,7,"Inventory only; rule correctness, evidence quality, testability and portability require review"
08,04-email-and-identity-investigations/scenario-08-business-email-compromise-and-mailbox-rule-investigation,14,0,0,2,4,2,21,T1098;T1098.001;T1098.002;T1110;T1110.003;T1114;T1114.002;T1114.003;T1482;T1531;T1550;T1550.001;T1556;T1556.006;T1562;T1562.001;T1562.008;T1564;T1564.008;T1592;T1592.004,6,"Inventory only; rule correctness, evidence quality, testability and portability require review"
09,05-endpoint-and-windows-investigations/scenario-09-endpoint-malware-or-edr-alert-investigation,20,1,0,8,5,7,12,T1055;T1059;T1059.005;T1070.004;T1071.001;T1105;T1204.002;T1218;T1218.010;T1547;T1547.001;T1566,5,"Inventory only; rule correctness, evidence quality, testability and portability require review"
10,05-endpoint-and-windows-investigations/scenario-10-suspicious-powershell-execution,22,1,0,10,8,8,18,T1016;T1027;T1033;T1047;T1059;T1059.001;T1059.005;T1071;T1071.001;T1082;T1105;T1140;T1204;T1204.002;T1562;T1562.001;T1573;T1573.001,10,"Inventory only; rule correctness, evidence quality, testability and portability require review"
11,05-endpoint-and-windows-investigations/scenario-11-privileged-account-and-group-membership-change,19,4,0,6,9,6,5,T1098;T1098.007;T1136;T1136.001;T1136.002,5,"Inventory only; rule correctness, evidence quality, testability and portability require review"
12,05-endpoint-and-windows-investigations/scenario-12-persistence-through-scheduled-task-or-new-service,23,4,0,6,10,5,6,T1027;T1053;T1053.005;T1059;T1059.001;T1112,8,"Inventory only; rule correctness, evidence quality, testability and portability require review"
13,05-endpoint-and-windows-investigations/scenario-13-lateral-movement-through-rdp-smb-or-remote-services,40,7,3,13,16,11,10,T1021;T1021.002;T1059;T1059.001;T1059.003;T1071.001;T1550.002;T1562.001;T1569;T1569.002,9,"Inventory only; rule correctness, evidence quality, testability and portability require review"
14,05-endpoint-and-windows-investigations/scenario-14-ransomware-early-indicators-and-containment,53,7,8,11,14,9,14,T1005;T1021.001;T1021.002;T1041;T1059.001;T1059.003;T1070.001;T1105;T1204.002;T1486;T1489;T1490;T1562.001;T1569.002,11,"Inventory only; rule correctness, evidence quality, testability and portability require review"
15,06-web-and-data-security-investigations/scenario-15-sql-injection-and-waf-alert-correlation,58,6,10,16,17,14,0,,22,"Inventory only; rule correctness, evidence quality, testability and portability require review"
16,06-web-and-data-security-investigations/scenario-16-suspicious-data-exfiltration-investigation,57,4,15,17,12,16,5,T1005;T1048.003;T1071.004;T1083;T1560.001,18,"Inventory only; rule correctness, evidence quality, testability and portability require review"
17,07-cloud-identity-and-privilege-investigations/scenario-17-cloud-identity-and-mfa-anomaly-investigation,72,16,20,21,23,18,1,T1621,17,"Inventory only; rule correctness, evidence quality, testability and portability require review"
18,07-cloud-identity-and-privilege-investigations/scenario-18-cloud-privilege-and-oauth-application-abuse,99,34,36,31,43,29,0,,11,"Inventory only; rule correctness, evidence quality, testability and portability require review"
