timestamp_utc,txid,source_ip,host,user_agent,method,path,payload_location,parameter_or_scope,payload_family,normalised_fragment,waf_rule_ids,waf_detection,waf_action_evidence,response_status,duration_ms,signal_classification,scenario_outcome,evidence_boundary
2025-07-28T02:20:59+00:00,aIbeimWhsy3dyR-@XmC3VAAAAAs,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/d_e02a6084/moveitisapi.dll,query_string,,surrounding_activity,/d_e02a6084/moveitisapi.dll?action=capa,,Not observed,Not observed,404,1147.644,needs_manual_review,Not applicable,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:20:59+00:00,aIbeimt5tNau78N6ORPtBQAAAAI,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",POST,/d_99bd51d6/d_5064639b/helpedit.php,request_body,ARGS:selInfoKey1,union_based_sqli,1'UNION SELECT MD5(31337) --,942100;942190;942360,Confirmed,Not observed,404,1070.865,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:27+00:00,aIbflpBpFs9rtljRmvgamgAAAA8,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1 OR 5*5=25 --,942100,Confirmed,Not observed,301,955.477,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:28+00:00,aIbfl7KQCm5bWDnak54qPAAAABM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1 OR 5*5=25,942100,Confirmed,Not observed,301,963.019,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:29+00:00,aIbfmAUA0eMD2lcHYtGmYAAAAAM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1' OR 5*5=25 --,942100,Confirmed,Not observed,301,983.475,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:30+00:00,aIbfmQUA0eMD2lcHYtGmYgAAAAM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1\x22 OR 5*5=25 --,942100,Confirmed,Not observed,301,1022.565,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:31+00:00,aIbfmgUA0eMD2lcHYtGmZgAAAAM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1' OR 5*5=25 or 'yBifoJnI'=',942100,Confirmed,Not observed,301,1126.031,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:32+00:00,aIbfmwUA0eMD2lcHYtGmZwAAAAM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1\x22 OR 5*5=25 or \x22d3BrogOq\x22=\x22,942100,Confirmed,Not observed,301,1012.669,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:33+00:00,aIbfnPJCXCQleSJdGySq6gAAABY,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1 OR 5*5=25 --,942100,Confirmed,Not observed,404,1333.512,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:34+00:00,aIbfnfJCXCQleSJdGySq6wAAABY,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1 OR 5*5=26 --,942100,Confirmed,Not observed,404,1294.731,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:36+00:00,aIbfnyPceZ9pt26uvEgt5gAAAAc,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1 OR 5*5=25,942100,Confirmed,Not observed,404,1263.910,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:37+00:00,aIbfoLZhckEallvc9NWotQAAAAg,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:orderby,boolean_based_sqli,-1 OR 5*5=25 --,942100,Confirmed,Not observed,301,1012.516,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:38+00:00,aIbfoQUA0eMD2lcHYtGmbAAAAAM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1 OR 5*5=26,942100,Confirmed,Not observed,404,1092.999,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:39+00:00,aIbfogUA0eMD2lcHYtGmbQAAAAM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:orderby,boolean_based_sqli,-1 OR 5*5=25,942100,Confirmed,Not observed,301,1167.166,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:40+00:00,aIbfolOUGphAZTmdtOm4dAAAAB4,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1' OR 5*5=25 --,942100,Confirmed,Not observed,404,1147.951,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:41+00:00,aIbfpPJCXCQleSJdGySq8AAAABY,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:orderby,boolean_based_sqli,-1' OR 5*5=25 --,942100,Confirmed,Not observed,301,1116.145,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:42+00:00,aIbfpLZhckEallvc9NWouAAAAAg,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1' OR 5*5=26 --,942100,Confirmed,Not observed,404,1435.122,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:42+00:00,aIbfpZVBsaOcgKzP83rENQAAAA4,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:orderby,boolean_based_sqli,-1\x22 OR 5*5=25 --,942100,Confirmed,Not observed,301,1056.094,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:43+00:00,aIbfpiPceZ9pt26uvEgt6wAAAAc,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1 OR 5*5=25 --,942100,Confirmed,Not observed,301,1069.114,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:43+00:00,aIbfpo@4om-GXgudCVfF9AAAAAw,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1\x22 OR 5*5=25 --,942100,Confirmed,Not observed,404,1203.301,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:44+00:00,aIbfp7ZhckEallvc9NWougAAAAg,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:orderby,boolean_based_sqli,-1' OR 5*5=25 or 'krecqsos'=',942100,Confirmed,Not observed,301,1112.148,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:44+00:00,aIbfp7KQCm5bWDnak54qUQAAABM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1 OR 5*5=25,942100,Confirmed,Not observed,301,1293.542,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:45+00:00,aIbfqCPceZ9pt26uvEgt7QAAAAc,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1\x22 OR 5*5=26 --,942100,Confirmed,Not observed,404,1116.836,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:46+00:00,aIbfqfJCXCQleSJdGySq9AAAABY,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:orderby,boolean_based_sqli,-1\x22 OR 5*5=25 or \x2245cSgCOS\x22=\x22,942100,Confirmed,Not observed,301,1278.975,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:46+00:00,aIbfqZVBsaOcgKzP83rEOAAAAA4,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1' OR 5*5=25 --,942100,Confirmed,Not observed,301,985.107,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:47+00:00,aIbfqgUA0eMD2lcHYtGmdAAAAAM,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1' OR 5*5=25 or 'TmN3v7QX'=',942100,Confirmed,Not observed,404,1119.216,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:48+00:00,aIbfq7ZhckEallvc9NWovgAAAAg,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:paged,boolean_based_sqli,-1\x22 OR 5*5=25 --,942100,Confirmed,Not observed,301,1008.807,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
2025-07-28T02:25:49+00:00,aIbfrLZhckEallvc9NWowAAAAAg,100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",GET,/,query_string,ARGS:product_cat,boolean_based_sqli,-1' OR 5*5=26 or 'TmN3v7QX'=',942100,Confirmed,Not observed,404,1151.123,high_signal_sqli_attempt,Attempted,HTTP status is not treated as WAF block or exploit success evidence
