attack_stage,status,correlation_strength,evidence_basis,key_references,limitations
Initial Access,Not available / Unable to assess,N/A,First retained evidence is execution of an already-present .scr on SCRANTON; no delivery telemetry establishes how it arrived.,HOSTJSON:373,Do not infer Initial Access from the first observed execution.
Execution,Observed,Strong,Exact ProcessGuid lineage links .scr -> cmd -> sdclt -> control -> hidden PowerShell; later remote and encoded PowerShell execution is directly observed.,HOSTJSON:373;3876;6640;6747;6930;185395;185832,Delivery mechanism remains unknown.
Persistence,Correlated,Strong contextual,Auto-start LocalSystem service points to javamtsup.exe; same path later launches from services.exe as SYSTEM.,HOSTJSON:50937;132298,Configuration and later execution share host/path/service context rather than ProcessGuid.
Privilege Escalation,Correlated,Strong outcome,pbeesly-context persistence configured LocalSystem execution and javamtsup.exe later ran as SYSTEM; sdclt/control and RunAs chains are supporting behavior.,HOSTJSON:50937;132298;6640;6747;183900,Exact privilege-acquisition mechanism is not fully reconstructed; do not claim a specific UAC bypass from RunAs alone.
Defense Evasion,Observed,Moderate to Strong,SDelete removed the initial .scr and later Rar.exe; hidden/encoded PowerShell and image-based payload extraction are directly observed.,HOSTJSON:45305;6930;114683;185832,Artifact deletion does not prove complete anti-forensic success.
Credential Access,Correlated,Strong behavior; outcome unknown,Exact malicious PowerShell SourceProcessGuid accessed LSASS with 0x1fffff. PFX export was separately attempted but explicitly failed.,HOSTJSON:53270;52560,Successful credential extraction is not shown; certificate theft did not succeed in the reviewed event.
Discovery,Not observed in the incident chain,N/A,Automated discovery candidates were ipconfig /all launched by Azure Guest/Telemetry agents and were excluded during analyst review.,Excluded benign first-pass candidates,Bounded to reviewed telemetry; absence is not universal proof of no discovery.
Lateral Movement,Correlated,Strong overall; Moderate WinRM cross-host bridge,"SCRANTON PowerShell -> NASHUA:5985 plus target 4624/wsmprovhost; later source-IP network logons, ADMIN$ PSEXESVC write, svcctl and service creation establish SMB/PsExec movement.",HOSTJSON:90586;90461;90531;92330;93856;93862;94190;94192,No stable identifier spans both hosts for the WinRM bridge; target-side and PsExec session links are Strong.
Collection,Observed,Moderate,Rar.exe executed on NASHUA with password-protected archive staging involving working.zip.,HOSTJSON:105507,Archive success/content sensitivity not independently validated.
Command and Control,Correlated,Strong within endpoint telemetry,Exact ProcessGuids connect the initial .scr/PowerShell/python processes to incident lab destinations; NASHUA Python produced 348 Event 3 records to 192.168.0.4:8443.,HOSTJSON:567;7665;89587;102844..118721;186659,Independent Zeek logs are not time-aligned and cannot corroborate these exact events; successful interactive C2 is not independently demonstrated.
Exfiltration,Not observed / Unable to assess,N/A,"Collection/staging and outbound communications exist, but no sender/receiver object, transferred-file hash or outcome proves staged data left the environment.",HOSTJSON:105507;102844..118721,Traffic alone is insufficient to claim exfiltration.
Impact,Not observed,N/A,"No ransomware, destructive business-data modification, service outage or other ATT&CK Impact-stage outcome is demonstrated.",,"Technical compromise is established, but business/ATT&CK Impact-stage consequences are not."
