rule_id,rule_message,severity,hit_count,transaction_count,detection_interpretation,outcome_boundary
942100,SQL Injection Attack Detected via libinjection,CRITICAL,11048,4227,Broad libinjection detector; single-rule hits require context review,Rule match and severity do not establish WAF enforcement or successful exploitation
942360,Detects concatenated basic SQL injection and SQLLFI attempts,CRITICAL,3634,1817,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942160,Detects blind sqli tests using sleep() or benchmark().,CRITICAL,3488,1744,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942360,Detects concatenated basic SQL injection and SQLLFI attempts,CRITICAL,902,451,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942280,"Detects Postgres pg_sleep injection, waitfor delay attacks and database shutdown attempts",CRITICAL,426,213,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942190,Detects MSSQL code execution and information gathering attempts,CRITICAL,384,192,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942240,Detects MySQL charset switch and MSSQL DoS attempts,CRITICAL,160,80,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942270,"Looking for basic sql injection. Common attack string for mysql, oracle and others.",CRITICAL,76,38,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942170,Detects SQL benchmark and sleep injection attempts including conditional queries,CRITICAL,64,32,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942140,SQL Injection Attack: Common DB Names Detected,CRITICAL,60,30,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942100,SQL Injection Attack Detected via libinjection,CRITICAL,56,22,Broad libinjection detector; single-rule hits require context review,Rule match and severity do not establish WAF enforcement or successful exploitation
942350,Detects MySQL UDF injection and other data/structure manipulation attempts,CRITICAL,36,18,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942230,Detects conditional SQL injection attempts,CRITICAL,18,9,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942190,Detects MSSQL code execution and information gathering attempts,,16,8,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942350,Detects MySQL UDF injection and other data/structure manipulation attempts,CRITICAL,16,8,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942360,Detects concatenated basic SQL injection and SQLLFI attempts,CRITICAL,16,8,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942190,Detects MSSQL code execution and information gathering attempts,CRITICAL,12,6,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942360,Detects concatenated basic SQL injection and SQLLFI attempts,CRITICAL,12,6,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942190,Detects MSSQL code execution and information gathering attempts,CRITICAL,8,4,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942270,"Looking for basic sql injection. Common attack string for mysql, oracle and others.",CRITICAL,8,4,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
942360,Detects concatenated basic SQL injection and SQLLFI attempts,,8,4,Specialised SQLi signal; stronger when correlated with additional rules or repeated activity,Rule match and severity do not establish WAF enforcement or successful exploitation
942500,MySQL in-line comment detected.,CRITICAL,8,4,"SQLi rule; validate matched variable, payload context and peer rule support",Rule match and severity do not establish WAF enforcement or successful exploitation
