sequence,timestamp,source,event_id,event_record_id,computer,actor,actor_logon_id,target,group_or_role,process_guid,pid,parent_pid,action,result,correlation_basis
1,2020-10-09T10:41:23Z (UTC inferred),Windows Security,4624,228808,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,,,,,,Actor network logon (Logon Type 3),Audit Success,4624 New Logon ID equals later Subject Logon ID
2,2020-10-09T10:41:23Z (UTC inferred),Windows Security,4672,228809,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,,,,,,Sensitive privileges assigned to actor session,Audit Success,4672 Logon ID equals actor 4624 and change SubjectLogonId
3,2020-10-09 10:41:26.060Z,Sysmon Operational,1,4277,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,BUILTIN\Administrators,{733EE690-3E56-5F80-DE00-000000007F01},4764,4408,"Atomic test launched cmd.exe; command=""C:\Windows\system32\cmd.exe"" /c ""net user /add ""T1136.001_Admin"" ""[REDACTED-LAB-PASSWORD]"" & net localgroup administrators ""T1136.001_Admin"" /add"" ",Process created,Same user and LogonId; exact target in command; ProcessGuid/parent process fields
4,2020-10-09 10:41:26.066Z,Sysmon Operational,1,4291,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,,{733EE690-3E56-5F80-DF00-000000007F01},1388,4764,"net.exe requested account creation; command=net  user /add ""T1136.001_Admin"" ""[REDACTED-LAB-PASSWORD]"" ",Process created,Same user and LogonId; exact target in command; ProcessGuid/parent process fields
5,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4720,228839,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,,,,,Account created,Audit Success,"Same actor, Logon ID, host, target and command evidence"
6,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4722,228840,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,,,,,Account enabled,Audit Success,Same target and SubjectLogonId as 4720
7,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4724,228841,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,,,,,Password reset recorded,Audit Success,Same target and SubjectLogonId; followed by 4738 Password Last Set
8,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4738,228842,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,,,,,Account attributes changed; password set and UAC 0x15 to 0x10,Audit Success,Same target and SubjectLogonId
9,2020-10-09 10:41:26.106Z,Sysmon Operational,1,4317,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,BUILTIN\Administrators,{733EE690-3E56-5F80-E100-000000007F01},5104,4764,"net.exe requested privileged group addition; command=net  localgroup administrators ""T1136.001_Admin"" /add ",Process created,Same user and LogonId; exact target in command; ProcessGuid/parent process fields
10,2020-10-09 10:41:26.111Z,Sysmon Operational,1,4330,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,BUILTIN\Administrators,{733EE690-3E56-5F80-E200-000000007F01},4104,5104,"net1.exe executed privileged group addition; command=C:\Windows\system32\net1  localgroup administrators ""T1136.001_Admin"" /add ",Process created,Same user and LogonId; exact target in command; ProcessGuid/parent process fields
11,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4732,228843,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,ATTACKRANGE\T1136.001_Admin,BUILTIN\Administrators,,,,Member added to security-enabled local/domain-local group,Audit Success,Member Security ID equals created target; same SubjectLogonId; exact net command
12,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4735,228844,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x79779,,BUILTIN\Administrators,,,,Administrators group changed (supplemental event),Audit Success,"Same host/channel, group, actor, Logon ID and adjacent RecordNumber"
13,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4624,228865,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x7FE66,,,,,,Cleanup actor network logon (Logon Type 3),Audit Success,4624 New Logon ID equals deletion SubjectLogonId
14,2020-10-09T10:41:26Z (UTC inferred),Windows Security,4672,228866,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x7FE66,,,,,,Sensitive privileges assigned to cleanup session,Audit Success,4672 Logon ID equals cleanup 4624 and deletion SubjectLogonId
15,2020-10-09 10:41:29.003Z,Sysmon Operational,1,4600,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x7fe66,ATTACKRANGE\T1136.001_Admin,,{733EE690-3E59-5F80-F400-000000007F01},4912,2588,"Atomic cleanup launched cmd.exe; command=""C:\Windows\system32\cmd.exe"" /c ""net user /del ""T1136.001_Admin"" >nul 2>&1"" ",Process created,Same user and LogonId; exact target in command; ProcessGuid/parent process fields
16,2020-10-09 10:41:29.009Z,Sysmon Operational,1,4614,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x7fe66,ATTACKRANGE\T1136.001_Admin,,{733EE690-3E59-5F80-F500-000000007F01},5104,4912,"net.exe requested account deletion; command=net  user /del ""T1136.001_Admin""  ",Process created,Same user and LogonId; exact target in command; ProcessGuid/parent process fields
17,2020-10-09 10:41:29.014Z,Sysmon Operational,1,4627,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x7fe66,ATTACKRANGE\T1136.001_Admin,,{733EE690-3E59-5F80-F600-000000007F01},4504,5104,"net1.exe executed account deletion; command=C:\Windows\system32\net1  user /del ""T1136.001_Admin""  ",Process created,Same user and LogonId; exact target in command; ProcessGuid/parent process fields
18,2020-10-09T10:41:29Z (UTC inferred),Windows Security,4726,228888,win-dc-7216619.attackrange.local,ATTACKRANGE\Administrator,0x7FE66,ATTACKRANGE\T1136.001_Admin,,,,,Account deleted,Audit Success,Same cleanup Logon ID; exact target; corroborating net user /del process
