hunt_id	result_id	source_scenario	source_file	reference	entity_type	entity	time_start	time_end	observation	evidence_status	boundary
HC-01	HR-001	17	mfa-fatigue-assessment.csv	row 2	user	USER-001	2026-06-18T01:44:00Z	2026-06-18T01:49:10Z	user=USER-001; failures=4; denied=2; timeout=2; success=2026-06-18T01:49:10Z	Confirmed	Sequence evidence does not by itself prove compromise.
HC-01	HR-002	17	follow-on-activity-analysis.csv	row 2	user	USER-001	2026-06-18T02:12:00Z	2026-06-18T02:12:00Z	User registered security info result=success target=USER-001	Observed	Correlation does not establish causal compromise.
HC-01	HR-003	17	follow-on-activity-analysis.csv	row 3	user	USER-001	2026-06-18T02:16:00Z	2026-06-18T02:16:00Z	New-InboxRule result=Succeeded target=USER-001	Observed	Correlation does not establish causal compromise.
HC-01	HR-004	17	follow-on-activity-analysis.csv	row 4	user	USER-001	2026-06-18T02:20:00Z	2026-06-18T02:20:00Z	FileDownloaded result=Succeeded target=https://tenant.example.invalid/sites/finance/FY26-Forecast.xlsx	Observed	Correlation does not establish causal compromise.
HC-01	HR-005	17	follow-on-activity-analysis.csv	row 5	user	USER-001	2026-06-18T02:21:00Z	2026-06-18T02:21:00Z	FileDownloaded result=Succeeded target=https://tenant.example.invalid/sites/finance/Payroll-Summary.xlsx	Observed	Correlation does not establish causal compromise.
HC-01	HR-006	17	follow-on-activity-analysis.csv	row 6	user	USER-001	2026-06-18T02:22:00Z	2026-06-18T02:22:00Z	FileDownloaded result=Succeeded target=https://tenant.example.invalid/sites/finance/Supplier-Bank-Changes.xlsx	Observed	Correlation does not establish causal compromise.
HC-03	HR-007	10	process-chain.csv	row 2	process_guid	{860ba2e3-9f13-5f52-2703-000000000400}			C:\\Windows\\System32\\wscript.exe -> C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe; powershell.exe -noP -sta -w 1 -enc <5056-character Base64>	Observed	Processed command summary only
HC-03	HR-008	10	network-activity.csv	row 2	process_guid	{860ba2e3-9f13-5f52-2703-000000000400}			TCP 10[.]10[.]10[.]5:80	Observed	No packet or HTTP body is available and later HTTP activity may reuse this TCP connection
HC-05	HR-009	13	authentication-remote-service-evidence.csv	row 2	account	pgustavo	2020-09-20T06:57:46.000Z	2020-09-20T06:57:46.000Z	event=4624; account=pgustavo; source=172.18.39.5; target=	Observed	Authentication alone is not malicious lateral movement
HC-05	HR-010	13	authentication-remote-service-evidence.csv	row 3	account	pgustavo	2020-09-20T06:57:46.000Z	2020-09-20T06:57:46.000Z	event=4776; account=pgustavo; source=; target=	Observed	Authentication alone is not malicious lateral movement
HC-05	HR-011	13	authentication-remote-service-evidence.csv	row 4	account	pgustavo	2020-09-20T06:57:46.000Z	2020-09-20T06:57:46.000Z	event=4672; account=pgustavo; source=; target=	Observed	Authentication alone is not malicious lateral movement
HC-05	HR-012	13	authentication-remote-service-evidence.csv	row 5	account	pgustavo	2020-09-20T06:57:47.000Z	2020-09-20T06:57:47.000Z	event=5140; account=pgustavo; source=172.18.39.5; target=\\*\IPC$	Observed	Authentication alone is not malicious lateral movement
HC-05	HR-013	13	authentication-remote-service-evidence.csv	row 6	account	pgustavo	2020-09-20T06:57:47.000Z	2020-09-20T06:57:47.000Z	event=5145; account=pgustavo; source=172.18.39.5; target=\\*\IPC$	Observed	Authentication alone is not malicious lateral movement
HC-05	HR-014	13	authentication-remote-service-evidence.csv	row 7	account	pgustavo	2020-09-20T06:57:47.000Z	2020-09-20T06:57:47.000Z	event=4697; account=pgustavo; source=; target=PGUJLOAKFQFVOMHGFQPX	Observed	Authentication alone is not malicious lateral movement
HC-05	HR-015	13	authentication-remote-service-evidence.csv	row 8	account		2020-09-20T06:57:47.000Z	2020-09-20T06:57:47.000Z	event=7045; account=; source=; target=PGUJLOAKFQFVOMHGFQPX	Observed	Authentication alone is not malicious lateral movement
HC-08	HR-016	15	application-and-database-evidence.csv	row 2	telemetry	Application request/exception log			Application request/exception log: No route, controller, session, exception, stack trace or response classification	Not available	Cannot confirm application handling, authentication bypass or SQL exception
HC-08	HR-017	15	application-and-database-evidence.csv	row 3	telemetry	Database/backend audit			Database/backend audit: No query text, database error, affected-row count or table access record	Not available	Cannot confirm SQL execution, data access, modification or extraction
HC-08	HR-018	15	application-and-database-evidence.csv	row 5	telemetry	Independent web access log			Independent web access log: No separate Nginx/Apache access record with upstream fields	Not available	Cannot independently attribute 403/404/503 to WAF, proxy or application
HC-09	HR-019	16	process-to-network-correlation.csv	row 2	correlation_key	host + service context + time			systemd unit to source host: Linux audit unit=put on internal_share -> DNS requests from 10.143.0.103	Inferred	No shared PID, socket ID, flow ID, or Process GUID
HC-09	HR-020	16	process-to-network-correlation.csv	row 3	correlation_key	protocol grammar + domain + filenames			configured script to encoding pattern: exfil.sh.j2 creates 3x6/3x7 queries using gzip/base64/dig -> PCAP contains matching 3x6/3x7 structure and filenames	Strongly inferred	Script is ground truth; packet generation is telemetry-confirmed
HC-09	HR-021	16	process-to-network-correlation.csv	row 4	correlation_key	file name + exact SHA-256			source object to receiver object: Unique source path and SHA-256 -> Receiver file with identical name, size, and SHA-256	Confirmed	Direct receiver-side reconstruction evidence
HC-09	HR-022	16	process-to-network-correlation.csv	row 5	correlation_key	file name + chunk sequence + completion marker			DNS sequence to receiver reconstruction: Continuous 3x6 indexes and 3x7 marker for 31 files -> 31 receiver files	Confirmed	Hash equality is the decisive completion evidence
HC-10	HR-023	18	precise-cloud-privilege-correlation.csv	row 2	stable_key	bac69792-442c-5c36-9054-1a99f48152f3			Token issued in sign-in was used for API operation: List applications	Confirmed	Specific permission claim is not logged in the API activity
HC-10	HR-024	18	precise-cloud-privilege-correlation.csv	row 3	stable_key	bac69792-442c-5c36-9054-1a99f48152f3			Token issued in sign-in was used for API operation: List servicePrincipals	Confirmed	Specific permission claim is not logged in the API activity
HC-10	HR-025	18	precise-cloud-privilege-correlation.csv	row 4	stable_key	bac69792-442c-5c36-9054-1a99f48152f3			Token issued in sign-in was used for API operation: List sites	Confirmed	Specific permission claim is not logged in the API activity
HC-10	HR-026	18	precise-cloud-privilege-correlation.csv	row 5	stable_key	bac69792-442c-5c36-9054-1a99f48152f3			Token issued in sign-in was used for API operation: List driveItems	Confirmed	Specific permission claim is not logged in the API activity
HC-10	HR-027	18	precise-cloud-privilege-correlation.csv	row 6	stable_key	bac69792-442c-5c36-9054-1a99f48152f3			Token issued in sign-in was used for API operation: Download driveItem content	Confirmed	Specific permission claim is not logged in the API activity
HC-10	HR-028	18	precise-cloud-privilege-correlation.csv	row 7	stable_key	bac69792-442c-5c36-9054-1a99f48152f3			Token issued in sign-in was used for API operation: Create federatedIdentityCredential	Confirmed	Specific permission claim is not logged in the API activity
HC-10	HR-029	18	precise-cloud-privilege-correlation.csv	row 8	stable_key	52f99e92-bb8b-5678-8990-0a5caffcaffd			Token issued in sign-in was used for API operation: List applications	Confirmed	Specific permission claim is not logged in the API activity
HC-12	HR-030	11	field-coverage.csv	row 6	target_account	ATTACKRANGE\T1136.001_Admin			Target successful or failed logon: Not observed; basis=Target appears only in Security event types 4720,4722,4724,4726,4732,4738; no 4624/4625	Not observed	Bounded to selected Security/Sysmon files
HC-12	HR-031	11	field-coverage.csv	row 7	target_account	ATTACKRANGE\T1136.001_Admin			Target special privilege logon: Not observed; basis=No 4672 containing the target; observed 4672 events belong to Administrator sessions	Not observed	Bounded to selected Security/Sysmon files
