client_ip,host,user_agent,request_count,first_seen_utc,last_seen_utc,high_signal_count,likely_false_positive_count,manual_review_count,distinct_methods,source_identity_boundary
100.77.175.132,df7754e.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",3396,2025-07-28T02:20:59+00:00,2025-07-28T07:48:58+00:00,3303,0,93,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.70.61.207,d7677a9.hu,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),20,2025-08-22T00:18:01+00:00,2025-08-22T00:20:51+00:00,0,0,20,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.7.102,d7677a9.hu,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0; i-Macros-Web-Automation) like Gecko,20,2025-08-23T19:42:18+00:00,2025-08-23T19:44:05+00:00,0,0,20,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.123.98.28,d594ce5.hu,Python/3.13 aiohttp/3.12.13,9,2025-08-05T22:44:02+00:00,2025-08-05T22:44:16+00:00,7,0,2,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.107.127.196,dda0cd6.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",5,2025-08-02T03:18:07+00:00,2025-08-02T03:18:07+00:00,0,5,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.111.56.29,d7677a9.hu,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36",5,2025-08-19T20:55:59+00:00,2025-08-19T20:56:42+00:00,0,0,5,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.65.213.7,d7677a9.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36",5,2025-08-18T20:28:53+00:00,2025-08-18T20:29:09+00:00,0,0,5,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.83.172.27,d7677a9.hu,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; EIE10;ENCAWOL; rv:11.0) like Gecko,5,2025-08-19T23:30:22+00:00,2025-08-19T23:30:41+00:00,0,0,5,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.107.127.196,d955440.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",4,2025-08-02T08:47:57+00:00,2025-08-02T08:48:02+00:00,0,4,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (Knoppix; Linux i686; rv:134.0) Gecko/20100101 Firefox/134.0,3,2025-08-16T11:33:36+00:00,2025-08-16T21:11:23+00:00,3,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Kubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",3,2025-08-16T13:44:35+00:00,2025-08-17T01:31:00+00:00,3,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (ZZ; Linux i686; rv:132.0) Gecko/20100101 Firefox/132.0,3,2025-08-16T13:38:21+00:00,2025-08-17T00:06:59+00:00,3,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (ZZ; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0,3,2025-08-16T14:59:05+00:00,2025-08-16T15:14:36+00:00,3,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15",3,2025-08-16T10:30:13+00:00,2025-08-17T01:10:09+00:00,3,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.7 Safari/605.1.15",3,2025-08-16T12:09:00+00:00,2025-08-16T15:30:03+00:00,3,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",3,2025-08-16T12:48:21+00:00,2025-08-17T01:59:37+00:00,3,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",3,2025-08-16T12:14:18+00:00,2025-08-17T00:10:16+00:00,3,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",3,2025-08-16T12:37:52+00:00,2025-08-16T23:38:29+00:00,3,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/118.0,3,2025-08-16T11:52:31+00:00,2025-08-16T15:24:24+00:00,3,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,Mozilla/5.0 (ZZ; Linux x86_64; rv:131.0) Gecko/20100101 Firefox/131.0,3,2025-08-16T12:09:27+00:00,2025-08-17T00:28:49+00:00,2,0,1,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,da929f8.hu,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/116.0,3,2025-08-16T09:31:46+00:00,2025-08-16T12:48:36+00:00,2,0,1,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.117.12.104,d7677a9.hu,Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0,3,2025-08-23T15:27:46+00:00,2025-08-24T15:29:05+00:00,0,0,3,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.117.12.104,d7677a9.hu,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0,3,2025-08-23T23:48:22+00:00,2025-08-24T18:37:04+00:00,0,0,3,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.106.125.74,d594ce5.hu,,2,2025-08-10T00:11:44+00:00,2025-08-10T00:11:45+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.112.131.213,d21a749.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",2,2025-08-24T02:33:14+00:00,2025-08-24T02:33:15+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.113.249.33,dd465c1.eu,"Mozilla/5.0 (Linux; Android 11; Pixel 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.5993.70 Mobile Safari/537.36 (compatible; Googlebot/2.1;  http://www.google.com/bot.html)",2,2025-08-22T12:48:59+00:00,2025-08-22T12:49:06+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.123.98.28,d594ce5.hu,,2,2025-08-06T00:36:32+00:00,2025-08-06T00:36:34+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.69.36.68,d594ce5.hu,,2,2025-08-06T09:18:41+00:00,2025-08-06T09:18:42+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.69.89.190,d594ce5.hu,,2,2025-07-31T08:23:03+00:00,2025-07-31T08:23:04+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.76.176.215,100.115.127.60,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",2,2025-08-02T22:16:03+00:00,2025-08-14T19:53:31+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.79.229.26,d594ce5.hu,,2,2025-08-12T05:17:46+00:00,2025-08-12T05:17:47+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.85.169.252,df7754e.hu,python-requests/2.32.4,2,2025-08-09T14:36:04+00:00,2025-08-09T14:36:04+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.117.118,df2d4d0.hu,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",2,2025-08-25T11:49:39+00:00,2025-08-25T11:49:39+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Debian; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2,2025-08-16T12:03:18+00:00,2025-08-16T12:13:38+00:00,2,0,0,2,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
100.86.166.134,d594ce5.hu,"Mozilla/5.0 (Debian; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",2,2025-08-16T12:37:57+00:00,2025-08-16T21:35:20+00:00,2,0,0,1,Anonymised dataset value; X-Forwarded-For is not trusted without proxy-chain evidence
