host,channel,event_id,count
MORDORDC.theshire.local,Security,4624,4
MORDORDC.theshire.local,Security,4672,4
MORDORDC.theshire.local,Security,4776,1
WORKSTATION5.theshire.local,Microsoft-Windows-PowerShell/Operational,4103,297
WORKSTATION5.theshire.local,Microsoft-Windows-Sysmon/Operational,1,4
WORKSTATION5.theshire.local,Microsoft-Windows-Sysmon/Operational,3,2
WORKSTATION5.theshire.local,Microsoft-Windows-Sysmon/Operational,12,145
WORKSTATION5.theshire.local,Microsoft-Windows-Sysmon/Operational,13,220
WORKSTATION5.theshire.local,Security,4688,4
WORKSTATION6.theshire.local,Microsoft-Windows-PowerShell/Operational,4103,136
WORKSTATION6.theshire.local,Microsoft-Windows-PowerShell/Operational,4104,1
WORKSTATION6.theshire.local,Microsoft-Windows-Sysmon/Operational,1,6
WORKSTATION6.theshire.local,Microsoft-Windows-Sysmon/Operational,3,4
WORKSTATION6.theshire.local,Microsoft-Windows-Sysmon/Operational,12,535
WORKSTATION6.theshire.local,Microsoft-Windows-Sysmon/Operational,13,240
WORKSTATION6.theshire.local,System,7009,1
WORKSTATION6.theshire.local,System,7045,1
WORKSTATION6.theshire.local,security,4624,1
WORKSTATION6.theshire.local,security,4672,1
WORKSTATION6.theshire.local,security,4688,6
WORKSTATION6.theshire.local,security,4697,1
WORKSTATION6.theshire.local,security,5140,1
WORKSTATION6.theshire.local,security,5145,1
