link_type,left_source,left_event_or_object_id,right_source,right_event_or_object_id,stable_key_type,stable_key_value,evidence_strength,finding,boundary
Application definition to tenant service principal,application_objects,e59726d4-d5cb-5b2d-9884-cd8788d3a59a,service_principal_objects,13b2b610-6000-5b59-a4c3-66994834a818,appId,7e826e1b-2861-5d4f-866a-6366dd986a64,Confirmed,Application object and service principal map through appId,Does not mean the object IDs are interchangeable
Application definition to tenant service principal,application_objects,f3203d3f-a00b-56c2-ab39-31977358f351,service_principal_objects,ac93700d-cc7e-5965-bcbf-a3a7cbc66426,appId,96223ca7-14d8-5475-ae9f-9725f7b4cab5,Confirmed,Application object and service principal map through appId,Does not mean the object IDs are interchangeable
Application definition to tenant service principal,application_objects,902e4b62-0868-54ee-9035-43c58e8d6e6b,service_principal_objects,6bcbb44c-abb7-5c76-82bb-d1a3bd1fb226,appId,6f7bfb17-d1ce-5596-8a70-e611a13496da,Confirmed,Application object and service principal map through appId,Does not mean the object IDs are interchangeable
Delegated grant to client service principal,oauth2_permission_grants,6ced34fe-7250-5e02-ab29-6b836a3a352e,service_principal_objects,13b2b610-6000-5b59-a4c3-66994834a818,servicePrincipal object ID,13b2b610-6000-5b59-a4c3-66994834a818,Confirmed,OAuth grant belongs to the client service principal,Grant existence does not prove delegated token use
Delegated grant to client service principal,oauth2_permission_grants,6a469d6f-be3d-5193-89bc-30d4b1560d89,service_principal_objects,6bcbb44c-abb7-5c76-82bb-d1a3bd1fb226,servicePrincipal object ID,6bcbb44c-abb7-5c76-82bb-d1a3bd1fb226,Confirmed,OAuth grant belongs to the client service principal,Grant existence does not prove delegated token use
Application permission to client service principal,app_role_assignments,6e51e6ac-0759-576d-b83c-f6f108260215,service_principal_objects,13b2b610-6000-5b59-a4c3-66994834a818,servicePrincipal object ID,13b2b610-6000-5b59-a4c3-66994834a818,Confirmed,Application permission assigned: Application.ReadWrite.All,Assignment success does not prove use
Application permission to client service principal,app_role_assignments,e369c4d6-d7b5-5e82-89dd-575205fbcd56,service_principal_objects,13b2b610-6000-5b59-a4c3-66994834a818,servicePrincipal object ID,13b2b610-6000-5b59-a4c3-66994834a818,Confirmed,Application permission assigned: AppRoleAssignment.ReadWrite.All,Assignment success does not prove use
Application permission to client service principal,app_role_assignments,bd54678e-5128-54e2-9619-1bcf69786832,service_principal_objects,13b2b610-6000-5b59-a4c3-66994834a818,servicePrincipal object ID,13b2b610-6000-5b59-a4c3-66994834a818,Confirmed,Application permission assigned: Sites.Read.All,Assignment success does not prove use
Application permission to client service principal,app_role_assignments,6eee1073-a8cd-5a45-b2d2-a3026c7b7c65,service_principal_objects,13b2b610-6000-5b59-a4c3-66994834a818,servicePrincipal object ID,13b2b610-6000-5b59-a4c3-66994834a818,Confirmed,Application permission assigned: Files.Read.All,Assignment success does not prove use
Credential metadata to service-principal sign-in,credential_metadata,55753584-1b1a-56a0-8c45-6f1f3a818517,service_principal_signins,068c43c3-ef33-5dec-9425-6e75847fffd5,credential key/federated credential ID,55753584-1b1a-56a0-8c45-6f1f3a818517,Confirmed,Certificate metadata was used in a successful sign-in,Does not by itself identify the human controlling the credential
