fixture_id,rule_id,category,source_scenario,source_file,synthetic_or_sanitised,event_type,event_time,entity_type,entity_id_or_alias,expected_rule,expected_result,expected_classification,ground_truth_label,telemetry_label,benign_context,required_fields_present,intentionally_missing_fields,duplicate_group_id,sequence_id,notes
FX3-R19-01-001,R19-01,malicious,Scenario 17,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,sequence,2030-01-01T00:00:00Z,User + source IP,SYNTH-ENTITY,R19-01,Match,True Positive,Confirmed unauthorised MFA-fatigue sequence,Sanitised-derived,,Yes,,,FX3-R19-01-001,Preserves source timing deltas; failure records intentionally have no session_id.
FX3-R19-01-002,R19-01,benign,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-01-02T00:00:00Z,User + source IP,SYNTH-ENTITY,R19-01,Match,Benign Positive,Legitimate user repeatedly declined prompts then signed in,Synthetic,Approved/benign,Yes,,,FX3-R19-01-002,Correct behaviour match; incident is benign.
FX3-R19-01-003,R19-01,negative,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-01-03T00:00:00Z,User + source IP,SYNTH-ENTITY,R19-01,No match,True Negative,Below threshold,Synthetic,,Yes,,,FX3-R19-01-003,
FX3-R19-01-004,R19-01,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-01-04T00:00:00Z,User + source IP,SYNTH-ENTITY,R19-01,No match,True Negative,Success outside 15-minute rule scope,Synthetic,,Yes,,,FX3-R19-01-004,
FX3-R19-01-005,R19-01,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-01-05T00:00:00Z,User + source IP,SYNTH-ENTITY,R19-01,No match,True Negative,Shared NAT IP but no user reaches threshold,Synthetic,,Yes,,,FX3-R19-01-005,
FX3-R19-01-006,R19-01,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-01-06T00:00:00Z,User + source IP,SYNTH-ENTITY,R19-01,Unable to evaluate,Unable to test,Mandatory source IP missing,Synthetic,,Partial,source_ip,,FX3-R19-01-006,
FX3-R19-02-001,R19-02,malicious,Scenario 12,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,sequence,2030-02-01T00:00:00Z,Host + task,SYNTH-ENTITY,R19-02,Match,True Positive,Confirmed task execution chain,Sanitised-derived,,Yes,,,FX3-R19-02-001,Source-informed branch B; no encoded-command token required.
FX3-R19-02-002,R19-02,malicious,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-02-02T00:00:00Z,Host + task,SYNTH-ENTITY,R19-02,Match,True Positive,Suspicious SYSTEM/ONLOGON PowerShell task definition,Synthetic,,Yes,,,FX3-R19-02-002,
FX3-R19-02-003,R19-02,negative,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-02-03T00:00:00Z,Host + task,SYNTH-ENTITY,R19-02,No match,True Negative,Legitimate SYSTEM maintenance task without suspicious definition or follow-on,Synthetic,,Yes,,,FX3-R19-02-003,
FX3-R19-02-004,R19-02,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-02-04T00:00:00Z,Host + task,SYNTH-ENTITY,R19-02,No match,True Negative,PowerShell task not SYSTEM and no suspicious follow-on,Synthetic,,Yes,,,FX3-R19-02-004,
FX3-R19-02-005,R19-02,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-02-05T00:00:00Z,Host + task,SYNTH-ENTITY,R19-02,Unable to evaluate,Unable to test,No task action command and no process/follow-on telemetry,Synthetic,,Partial,command_line/process telemetry,,FX3-R19-02-005,
FX3-R19-02-006,R19-02,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-02-06T00:00:00Z,Host + task,SYNTH-ENTITY,R19-02,Match,True Positive,Unobfuscated loader with suspicious follow-on process,Synthetic,,Yes,,,FX3-R19-02-006,
FX3-R19-03-001,R19-03,malicious,Scenario 15,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,event,2030-03-01T00:00:00Z,HTTP transaction or source IP + host,SYNTH-ENTITY,R19-03,Match,True Positive,Attempted SQL injection behaviour; exploitation not established,Sanitised-derived,,Yes,,,FX3-R19-03-001,Representative multi-rule transaction derived from processed WAF evidence.
FX3-R19-03-002,R19-03,malicious,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-03-02T00:00:00Z,HTTP transaction or source IP + host,SYNTH-ENTITY,R19-03,Match,True Positive,20 distinct SQLi transactions inside 5-minute window,Synthetic,,Yes,,,FX3-R19-03-002,
FX3-R19-03-003,R19-03,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-03-03T00:00:00Z,HTTP transaction or source IP + host,SYNTH-ENTITY,R19-03,No match,True Negative,19 single-rule transactions remain below v3 starting threshold,Synthetic,,Yes,,,FX3-R19-03-003,
FX3-R19-03-004,R19-03,benign,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-03-04T00:00:00Z,HTTP transaction or source IP + host,SYNTH-ENTITY,R19-03,No match,True Negative,Single generic-rule password punctuation below burst threshold,Synthetic,,Yes,,,FX3-R19-03-004,
FX3-R19-03-005,R19-03,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-03-05T00:00:00Z,HTTP transaction or source IP + host,SYNTH-ENTITY,R19-03,Match,True Positive,Specialist SQLi rule alone qualifies branch A,Synthetic,,Yes,,,FX3-R19-03-005,
FX3-R19-03-006,R19-03,edge-cases,Scenario 19,Synthetic Scenario 19 fixture,synthetic,event,2030-03-06T00:00:00Z,HTTP transaction or source IP + host,SYNTH-ENTITY,R19-03,Unable to evaluate,Unable to test,Transaction ID missing,Synthetic,,Partial,transaction_id,,FX3-R19-03-006,
FX3-R19-04-001,R19-04,malicious,Scenario 18,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,sequence,2030-04-01T00:00:00Z,Service principal + credential,SYNTH-ENTITY,R19-04,Match,True Positive,No-approved-change credential followed by matching SP sign-in,Sanitised-derived,,Yes,,,FX3-R19-04-001,
FX3-R19-04-002,R19-04,benign,Scenario 18,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,sequence,2030-04-02T00:00:00Z,Service principal + credential,SYNTH-ENTITY,R19-04,Match,Benign Positive,Approved credential rotation/use,Sanitised-derived,Approved/benign,Yes,,,FX3-R19-04-002,Core rule still matches; change context is analyst enrichment.
FX3-R19-04-003,R19-04,negative,Scenario 18,See source-derived-validation-cases.csv,sanitised-derived-temporal-shift,sequence,2030-04-03T00:00:00Z,Service principal + credential,SYNTH-ENTITY,R19-04,No match,True Negative,Credential use far outside 24-hour lifecycle scope,Sanitised-derived,,Yes,,,FX3-R19-04-003,
FX3-R19-04-004,R19-04,negative,Scenario 19,Synthetic Scenario 19 fixture,synthetic,sequence,2030-04-04T00:00:00Z,Service principal + credential,SYNTH-ENTITY,R19-04,No match,True Negative,Credential ID matches but service principal differs,Synthetic,,Yes,,,FX3-R19-04-004,
