activity_display_name,event_id,new_value,old_value,property,target_display_name,target_id,target_type,time_utc
Update application - Certificates and secrets management,954d2d3c-a613-5812-807b-2a18ab12e413,"[{""displayName"": ""prod-cert-2026"", ""keyId"": ""2ab4afb1-d85a-5e8a-8fcf-8938efa18c82"", ""type"": ""AsymmetricX509Cert"", ""usage"": ""Verify""}]",[],KeyDescription,Northstar Data Operations Connector [SYNTHETIC],e59726d4-d5cb-5b2d-9884-cd8788d3a59a,Application,2026-06-11T10:05:00Z
Add federated identity credential,c4602d91-d47b-5ff8-b23b-a4d650917725,"[{""id"": ""b5d2882f-a467-5325-a7db-9500186bbea4"", ""name"": ""github-prod-deploy""}]",[],FederatedIdentityCredentials,Approved CI Deployment [SYNTHETIC],f3203d3f-a00b-56c2-ab39-31977358f351,Application,2026-06-12T09:00:00Z
Consent to application,7d0aa248-01e2-54ab-8e55-69dc52f1c9a1,"""Principal""",,ConsentType,Approved Survey Tool [SYNTHETIC],6bcbb44c-abb7-5c76-82bb-d1a3bd1fb226,ServicePrincipal,2026-06-14T03:20:00Z
Consent to application,7d0aa248-01e2-54ab-8e55-69dc52f1c9a1,"""User.Read""",,Scope,Approved Survey Tool [SYNTHETIC],6bcbb44c-abb7-5c76-82bb-d1a3bd1fb226,ServicePrincipal,2026-06-14T03:20:00Z
Consent to application,9e9ad40e-d52c-5f9c-a92d-3af2a843cf9d,"""AllPrincipals""",,ConsentType,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:14:00Z
Consent to application,9e9ad40e-d52c-5f9c-a92d-3af2a843cf9d,"""offline_access Mail.ReadWrite""",,Scope,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:14:00Z
Add app role assignment to service principal,3c9f93ca-493a-5fc5-982e-173a5f4bf22c,"""Application.ReadWrite.All""",,AppRole.Value,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:15:00Z
Add app role assignment to service principal,3c9f93ca-493a-5fc5-982e-173a5f4bf22c,"""f1ec2b02-1736-5da6-a480-55c979b5ffe8""",,AppRole.Id,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:15:00Z
Add app role assignment to service principal,d382a427-60f3-5345-972d-25fcd5cad282,"""AppRoleAssignment.ReadWrite.All""",,AppRole.Value,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:15:30Z
Add app role assignment to service principal,d382a427-60f3-5345-972d-25fcd5cad282,"""fd685d34-2bd0-5cc2-bc29-b1a16c6570b7""",,AppRole.Id,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:15:30Z
Add app role assignment to service principal,b5650c7c-468e-534b-a517-74bf1661493b,"""Sites.Read.All""",,AppRole.Value,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:16:00Z
Add app role assignment to service principal,b5650c7c-468e-534b-a517-74bf1661493b,"""3a99886c-2666-5b20-95bc-da8f1211ede5""",,AppRole.Id,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:16:00Z
Add app role assignment to service principal,7754589c-5b3b-56fb-aba3-21dff6e1a4e4,"""Files.Read.All""",,AppRole.Value,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:16:30Z
Add app role assignment to service principal,7754589c-5b3b-56fb-aba3-21dff6e1a4e4,"""eee7fd22-ff23-5210-acb5-207100cf6642""",,AppRole.Id,Northstar Data Operations Connector [SYNTHETIC],13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipal,2026-06-15T01:16:30Z
Add member to role,8c000059-711a-5efa-af2d-861b5eaa0b3f,"""Active""",,AssignmentType,Cloud Application Administrator [SYNTHETIC ROLE],d4fed30e-b0ae-5901-aeba-4f7d7f2917a5,Role,2026-06-15T01:17:00Z
