timestamp_utc,phase,host,telemetry,account,source,destination,correlation_key,finding,confidence
2020-09-20T06:57:46.000Z,Authentication,WORKSTATION6.theshire.local,Security Event ID 4624,THESHIRE\pgustavo,WORKSTATION5 / 172.18.39.5:50504,WORKSTATION6.theshire.local,0x2074186,Successful Type 3 NTLMv2 network logon,High
2020-09-20T06:57:46.000Z,Credential validation,MORDORDC.theshire.local,Security Event ID 4776,THESHIRE\pgustavo,WORKSTATION5,MORDORDC.theshire.local,Status 0x0,Domain controller accepted the NTLM credential validation,High
2020-09-20T06:57:46.000Z,Privilege assignment,WORKSTATION6.theshire.local,Security Event ID 4672,THESHIRE\pgustavo,WORKSTATION5.theshire.local,WORKSTATION6.theshire.local,0x2074186,Special privileges assigned to the same network logon session,High
2020-09-20T06:57:46.164Z,SMB connection,WORKSTATION6.theshire.local,Sysmon Event ID 3,NT AUTHORITY\SYSTEM,172.18.39.5:50504,172.18.39.6:445,TCP 172.18.39.5:50504 -> 172.18.39.6:445,Target recorded inbound SMB from WORKSTATION5,High
2020-09-20T06:57:47.000Z,Remote service channel,WORKSTATION6.theshire.local,Security Event IDs 5140 and 5145,THESHIRE\pgustavo,172.18.39.5,IPC$ / svcctl,0x2074186,The session accessed the Service Control Manager named pipe,High
2020-09-20T06:57:47.000Z,Remote service creation,WORKSTATION6.theshire.local,Security 4697 + System 7045 + Sysmon 12/13,THESHIRE\pgustavo,WORKSTATION5.theshire.local,WORKSTATION6.theshire.local,0x2074186 / PGUJLOAKFQFVOMHGFQPX,Random temporary demand-start service installed with cmd/encoded PowerShell ImagePath; target process telemetry later confirms SYSTEM execution,High
2020-09-20T06:57:47.785Z,Service execution,WORKSTATION6.theshire.local,Sysmon Event ID 1 + Security Event ID 4688,NT AUTHORITY\SYSTEM,services.exe,cmd.exe -> cmd.exe -> powershell.exe,{d273d0f0-fd6b-5f66-7305-000000000800},Service Control Manager launched the encoded PowerShell stager as SYSTEM,High
2020-09-20T06:57:48.000Z,Stager execution,WORKSTATION6.theshire.local,PowerShell Event ID 4104,NT AUTHORITY\SYSTEM,powershell.exe,http://10.10.10.5/login/process.php,9f63c3d4-dd42-47f7-86c1-4076ce091501,"Decoded script disables logging/AMSI, downloads encrypted stage data, decrypts it and invokes it in memory",High
2020-09-20T06:57:48.136Z,Post-execution network connection,WORKSTATION6.theshire.local,Sysmon Event ID 3 + PCAP,NT AUTHORITY\SYSTEM,172.18.39.6:57683,10.10.10.5:80,{d273d0f0-fd6c-5f66-7605-000000000800},The new SYSTEM PowerShell process connected to 10.10.10.5:80; listener attribution comes from simulation ground truth,High
2020-09-20T06:58:05.469Z,Post-exploitation validation,WORKSTATION6.theshire.local,Sysmon Event ID 1 + Security Event ID 4688,NT AUTHORITY\SYSTEM,powershell.exe,whoami.exe,{d273d0f0-fd6c-5f66-7605-000000000800},The new remote agent executed whoami as SYSTEM,High
