activity,actor_id,actor_name,actor_type,app_id,correlation_id,event_type,evidence_label,operation_id,request_id,result,service_principal_id,source,source_ip,target,time_utc,token_id
Application sign-in using clientAssertion,13b2b610-6000-5b59-a4c3-66994834a818,Northstar Data Operations Connector [SYNTHETIC],ServicePrincipal,7e826e1b-2861-5d4f-866a-6366dd986a64,8131b93f-b32f-5aef-9a37-56b3fced599c,Service principal sign-in,Confirmed,,d5c062a6-3d5d-5c3a-80dc-87ff93d1f601,success,13b2b610-6000-5b59-a4c3-66994834a818,ServicePrincipalSignIn,192.0.2.50,Azure Storage [SYNTHETIC REPRESENTATION],2026-04-30T02:00:00Z,bf464407-e203-559f-a491-1ea265e37c1a
Interactive user sign-in,056630ad-2787-5c9b-91ff-0d7dab821b3c,Approved Change Administrator,User,1462b319-140b-5339-8df9-5a480687b8b1,7eced51a-f2fd-50a3-a990-b1290dc5d876,User sign-in,Confirmed,,598fe9e4-2e99-56fa-89f3-3fe1e375fa79,success,,UserSignIn,192.0.2.20,Microsoft Graph resource representation [SYNTHETIC],2026-06-11T09:55:00Z,c83872da-0ae2-589b-9e8b-7e3483a699dd
Update application - Certificates and secrets management,056630ad-2787-5c9b-91ff-0d7dab821b3c,Approved Change Administrator,User,,25748e10-666f-5e97-8bf9-902d745a04c1,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.20,Northstar Data Operations Connector [SYNTHETIC],2026-06-11T10:05:00Z,
Add federated identity credential,056630ad-2787-5c9b-91ff-0d7dab821b3c,Approved Change Administrator,User,,aff6fcc9-10cc-530c-83e3-f7cf5e011bd2,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,192.0.2.20,Approved CI Deployment [SYNTHETIC],2026-06-12T09:00:00Z,
Application sign-in using federatedIdentityCredential,ac93700d-cc7e-5965-bcbf-a3a7cbc66426,Approved CI Deployment [SYNTHETIC],ServicePrincipal,96223ca7-14d8-5475-ae9f-9725f7b4cab5,552ba6e5-96cf-5ea2-b3ee-a54032840b18,Service principal sign-in,Confirmed,,c4fee5d8-979d-560b-8450-720aa2cf1b76,success,ac93700d-cc7e-5965-bcbf-a3a7cbc66426,ServicePrincipalSignIn,198.51.100.22,Azure Resource Manager [SYNTHETIC REPRESENTATION],2026-06-12T09:15:00Z,28c28b98-f972-53a0-99b9-6f5f87e58773
Consent to application,9c4d8718-39db-598e-930a-c2ba50f3cf1e,Survey User,User,,47c7fdd6-39ba-512c-9c87-a981e9ee816b,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,198.51.100.45,Approved Survey Tool [SYNTHETIC],2026-06-14T03:20:00Z,
Interactive user sign-in,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,1462b319-140b-5339-8df9-5a480687b8b1,b1bac210-11c3-5710-95ca-bd61bcc6d94f,User sign-in,Confirmed,,e05ff68d-b957-5c5a-95e4-db68dd6236cc,success,,UserSignIn,203.0.113.77,Microsoft Graph resource representation [SYNTHETIC],2026-06-15T00:59:00Z,9d5df044-56be-5f8b-8b36-2fbfc5cce4a8
Consent to application,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,,6e867e1f-1cb8-5d31-bdba-b9bee09e7c01,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC],2026-06-15T01:14:00Z,
Add app role assignment to service principal,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,,4ec9cb8e-9a47-5923-ac03-97facdc01942,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC]; Microsoft Graph resource representation [SYNTHETIC],2026-06-15T01:15:00Z,
Add app role assignment to service principal,a076be48-5b17-5758-89ba-433d71a97fb5,Cloud Administrator Two,User,,cc44889c-e27e-5390-b688-f1818b67e12d,ApplicationManagement,Confirmed,,,success,,DirectoryAudit,203.0.113.77,Northstar Data Operations Connector [SYNTHETIC]; Microsoft Graph resource representation [SYNTHETIC],2026-06-15T01:15:30Z,
