evidence_id,evidence_class,status,statement,source_link,conclusion_use
T01,Telemetry-confirmed fact,Confirmed,Two source IPs produced 10 invalid-password attempts against 5 users.,Entra sign-ins / error 50126,Confirms distributed password-spray behavior; it does not prove any password was correct.
T02,Telemetry-confirmed fact,Confirmed,"For USER-001, four later sign-ins from 198.51.100.77 recorded correct primary authentication before MFA: 2 denied and 2 timed out.",authenticationDetails preceding the successful sign-in,Confirms the actor possessed or successfully used the correct password by 01:44 UTC.
T03,Telemetry-confirmed fact,Confirmed,A successful interactive sign-in occurred at 2026-06-18T01:49:10Z using Microsoft Authenticator number matching from an unapproved anonymous-proxy IP and unmanaged/unknown device context.,signInId=SIGNIN-INCIDENT-001,"Confirms successful primary authentication, MFA completion, Conditional Access satisfaction and session creation; does not by itself prove user intent."
T04,Telemetry-confirmed fact,Confirmed,The compliant-device policy returned reportOnlyFailure while enforced MFA policies returned success.,signInId=SIGNIN-INCIDENT-001 / conditionalAccessPolicies,Report-only failure did not block the sign-in and must not be described as enforcement.
T05,Telemetry-confirmed fact,Confirmed,"Session SESSION-001 linked one interactive sign-in, three non-interactive token events and 4 M365 audit events.",Session ID across sign-in and M365 audit records,Confirms session continuity and follow-on activity; non-interactive events are not additional user MFA approvals.
T06,Telemetry-confirmed fact,Confirmed,"Correlation CORRELATION-001 links the successful sign-in, 4 platform risk records and 1 security-information registration audit event(s).",Correlation ID / Request ID,Strengthens cross-source linkage without treating every nearby event as the same transaction.
T07,Telemetry-confirmed fact,Confirmed,A separate IMAP/ROPC sign-in from the second attack IP was blocked by an enforced legacy-authentication policy and issued no session/token.,Entra sign-in / Conditional Access,"This is a separate unsuccessful attempt, not part of the successful session."
P01,Platform-generated risk,Confirmed,The platform emitted 4 risk detections linked to the successful request/correlation.,Identity Protection risk detections,Corroborating leads only; risk labels are not the proof of compromise.
B01,Business/user verification,Confirmed,User confirmed the successful sign-in and follow-on actions were unauthorized.,SYN-IR-2026-0017,Provides the authorization boundary required to distinguish suspicious success from confirmed unauthorized use.
B02,Business context,Confirmed,"The preceding Sydney location was an approved corporate VPN exit, so the travel-speed calculation is not proof of physical travel.",business-context.json approvedNetworks,Suppresses impossible-travel overclaim while leaving the Bucharest sign-in suspicious on independent evidence.
G01,Ground truth,Confirmed,Ground-truth classification is 'Confirmed account compromise' and matches the independent assessment.,ground-truth.json,"Used only as a post-assessment validation check, not as primary evidence."
N01,Not available,Not available,Authenticator approving-device/GPS telemetry and raw token material are absent by design.,detection gaps / business context,Telemetry cannot identify the physical approver or prove token theft/replay.
N02,Detection gap,Detection gap,Detailed internal Conditional Access condition traces and byte-for-byte portal export fidelity are not modeled.,schema basis and detection gaps,Exact reasons for every notApplied result cannot be asserted beyond the available policy result.
