record	file_or_artifact	bytes	md5	sha256	verification_status	publication_status
dataset_archive	russellmitchell.zip	7132670599	78e9b7d169b438f03816019b52ab3ff7	2da85d89764afa4ea3aa2b7565d246ccba25681866a516ddd151834089b5ab4c	Official MD5 matched; local SHA-256 calculated	Raw archive not included
first_pass_upload	scenario16-first-pass-upload.zip	approximately 14 MiB		73cbc62d425a8b1698a004be93b81a1de083bc6771df8a43ba17d39c57d00ac0	Uploaded result package matched local value	Intermediate package not included
precise_verification_upload	scenario16-precise-verification-upload.zip	22575		1405c8fe17c2548652cb43322fb3a87e332a089c2f2704e82f51d7d5de4a23b1	Uploaded result package reviewed	Intermediate package not included
confirmed_source_object	2010_invoices.xlsx	13900		f921656b23fa4a5a6f41ebb91b9d972019ec82a4eb735a92c3c1d3665df06817	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2011_invoices.xlsx	16411		5e7b347bd9670405bf2707233c6e693c2d55fee73e3c09138f8655330246d2a2	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2012_invoices.xlsx	10259		62e360320f00455679d98effe63971645d190508c1ef1438ff188b21d16168de	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2013_invoices.xlsx	18213		9cf8666d105c0e0b43c1a551b7a164b8c8b734f79da82d793eaca3cd0ff4b5bf	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2014_invoices.xlsx	18962		9a5030620765a89f979dcd5f93bfdd56ab1babfb80d1823fe7fc8d9216c7e848	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2015_invoices.xlsx	19786		1f1f95b056237e2d641201468c152b1736cdab5cb281c3daac300b94848c09ca	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2016_invoices.xlsx	16268		a7f4b999b037fc1a90671e264a5efc0c526b241151fafb47dce280192e4da3a5	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2017_invoices.xlsx	9969		cd526c68314e0fe651059bd10547bd1c150a72a24d0d2e9f6996f4a508173bcc	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2018_invoices.xlsx	15818		83bbb7e6f1e9124490806f0bb15761b18c411ac1e8b03d404ba5185de6459226	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2019_invoices.xlsx	21829		48f2d45fd3954ca4b52066f1f52423b2cf47031e0358c46a2638217e25e808ec	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	2020_invoices.xlsx	19299		67c678e97af6acfa1785e938167999aeab6e56033151bee28dc8136938751e54	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	HuangInc.docx	24285		c28271156561d04604dc15f460fe3543ac07c5674bcc1f054bf976e758489341	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	VasquezWangAndFox.docx	24374		dcde13f668162c6647bd47404680fa7e341f7edf4b86f2747ea663e33b25fa91	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2013.xlsx	103007		cdbdb6b99b45791dfeb4324278f7921081dd3756c8c63f015a2a754d0e233dc8	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2014.xlsx	86938		b566da77088b2d4bf0e519c043bdc154c88b79bd0d5b4846c2ef55efea0bb708	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2015.xlsx	108340		6496c5b649c186582f11f85083c66cfba50e62d77202fe9758385517e32a21b0	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2016.xlsx	103338		ea30a8463b0c71a427232ed3c5e9f1e699ec51d132fc4ee0a7982f2d5dc8c78e	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2017.xlsx	106710		f655b20f2e5b51090ac51c2070773b6df6b611968e10a08c2aee15e8b9d731d5	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2018.xlsx	95763		07623164dd435568a54f636400ee846a8838aed46678096fc3547bd4b6c167b0	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2019.xlsx	106266		6a90d6b5dc15e54a922b0513df8f0da974e8bd5ce56b38f2e24b88fbebea1fa7	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2020.xlsx	107527		8e4567ec18f26d3a917d202e1b9947980b58df47961c88466bc28716a7136d8a	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	customers_2021.xlsx	108439		a1a17627c497cd68eb4fd21f3a4d298a4ecb2dc1e5b3e49ba09b13b9aa70557b	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	payroll_2013.xlsx	98688		04cbe3d0d861da7952940d3d35c4640be3221ad3bcb44cbcc1db1bdf6eb4fc07	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	payroll_2014.xlsx	97805		c252c2718f7ef5a28733fdce331f768c092cc7412281df28f03b4d3094a19250	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	payroll_2015.xlsx	99166		5ead7b118f75c8d884830f63d22f8e10caac3b4cdd4bf3daccfab08df0057b0c	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	payroll_2016.xlsx	98705		7f8cf2e9014c281c2d2f733e80250dcdec1ddb6db29702c9c0952ff6d2a141b2	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
confirmed_source_object	payroll_2017.xlsx	98605		7d02bd15ad789bc260d185d5323f18e103b7958f022fef7d5e1a8a1038dbb83d	Receiver object has identical size and SHA-256	Hash metadata only; document content not included
