event_time,source_time,domain,source,host,user,source_ip,destination,process,session_correlation_identifier,event,evidence_status,attack_stage,correlation_strength,source_reference,time_basis,uncertainty
2020-05-02T02:55:56.157Z,2020-05-01 22:55:56,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,C:\ProgramData\victim\<RLO-like>.scr,ProcessGuid={47ab858c-e13c-5eac-a903-000000000400},Primary lead: unusual .scr executed from ProgramData by Explorer,Observed,Execution,Strong,HOSTJSON:373,Explicit UtcTime,Low
2020-05-02T02:55:59.631Z,,Network (endpoint),Sysmon EID 3,SCRANTON.dmevals.local,DMEVALS\pbeesly,10.0.1.4,192.168.0.5:1234/tcp,C:\ProgramData\victim\<RLO-like>.scr,ProcessGuid={47ab858c-e13c-5eac-a903-000000000400},Same .scr process established outbound connection,Correlated,Command and Control,Strong,HOSTJSON:567,Explicit UtcTime,Low
2020-05-02T02:57:12.376Z,,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,cmd.exe,ParentProcessGuid={47ab858c-e13c-5eac-a903-000000000400},.scr directly spawned cmd.exe,Correlated,Execution,Strong,HOSTJSON:3876,Explicit UtcTime,Low
2020-05-02T02:58:43.008Z,,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,sdclt.exe,ParentProcessGuid={47ab858c-e188-5eac-b003-000000000400},cmd.exe directly spawned sdclt.exe,Correlated,Privilege Escalation supporting chain,Strong,HOSTJSON:6640,Explicit UtcTime,Low
2020-05-02T02:58:43.212Z,,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,control.exe,ParentProcessGuid={47ab858c-e1e3-5eac-b503-000000000400},sdclt.exe directly spawned control.exe,Correlated,Execution,Strong,HOSTJSON:6747,Explicit UtcTime,Low
2020-05-02T02:58:44.325Z,2020-05-01 22:58:44,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,powershell.exe,ProcessGuid={47ab858c-e1e4-5eac-b803-000000000400},control.exe spawned hidden PowerShell that extracted bytes from monkey.png and invoked them in memory,Correlated,Execution / Defense Evasion,Strong,HOSTJSON:6930,Explicit UtcTime,Low
2020-05-02T02:58:45.688Z,,Network (endpoint),Sysmon EID 3,SCRANTON.dmevals.local,DMEVALS\pbeesly,10.0.1.4,192.168.0.5:443/tcp,powershell.exe,ProcessGuid={47ab858c-e1e4-5eac-b803-000000000400},Same hidden PowerShell process connected to 192.168.0.5:443,Correlated,Command and Control,Strong,HOSTJSON:7665,Explicit UtcTime,Low
2020-05-02T03:02:04.324Z,2020-05-01 23:02:04,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,sdelete64.exe,,SDelete targeted the earlier suspicious .scr artifact,Observed,Defense Evasion,Moderate,HOSTJSON:45305,Explicit UtcTime,Low
2020-05-02T03:04:15Z,2020-05-01 23:04:15,Endpoint / Windows,System EID 7045,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,C:\Windows\System32\javamtsup.exe,Service=Java(TM) Virtual Machine Support Service,Auto-start LocalSystem service installed for javamtsup.exe,Observed,Persistence / Privilege Escalation,Moderate,HOSTJSON:50937,EventTime + 4h inferred,Medium
2020-05-02T03:04:57Z,2020-05-01 23:04:57,Endpoint / PowerShell,PowerShell EID 4103,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,powershell.exe,Runspace=a1219642-d065-4cde-8f58-8d87d685e4b7,Export-PfxCertificate attempted and failed: private key was non-exportable,Attempted / unsuccessful,Credential Access,Moderate,HOSTJSON:52560,EventTime + 4h inferred,Medium
2020-05-02T03:05:16.654Z,2020-05-01 23:05:16,Endpoint / Windows,Sysmon EID 10,SCRANTON.dmevals.local,DMEVALS\pbeesly,,lsass.exe,powershell.exe,SourceProcessGuid={47ab858c-e1e4-5eac-b803-000000000400},Exact malicious PowerShell process accessed LSASS with GrantedAccess 0x1fffff,Correlated,Credential Access,Strong,HOSTJSON:53270,Explicit UtcTime,Low
2020-05-02T03:05:24.771Z,,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,,powershell.exe,ParentProcessGuid={47ab858c-e1e4-5eac-b803-000000000400},Malicious PowerShell spawned child PowerShell,Correlated,Execution,Strong,HOSTJSON:53541,Explicit UtcTime,Low
2020-05-02T03:08:47.769Z,,Network (endpoint),Sysmon EID 3,SCRANTON.dmevals.local,DMEVALS\pbeesly,10.0.1.4,192.168.0.4:80/tcp,powershell.exe,ProcessGuid={47ab858c-e374-5eac-d803-000000000400},Child PowerShell connected to 192.168.0.4:80,Correlated,Command and Control,Strong,HOSTJSON:89587,Explicit UtcTime,Low
2020-05-02T03:08:50.846Z,2020-05-01 23:08:50,Endpoint / Windows,Sysmon EID 1,SCRANTON.dmevals.local,DMEVALS\pbeesly,,192.168.0.4/webdav,rundll32.exe,,rundll32 invoked davclnt.dll DavSetCookie against WebDAV URL on 192.168.0.4,Observed,Execution / Command and Control,Moderate,HOSTJSON:89609,Explicit UtcTime,Low
2020-05-02T03:09:23.801Z,,Network (endpoint),Sysmon EID 3,SCRANTON.dmevals.local,DMEVALS\pbeesly,10.0.1.4,10.0.1.6:5985/tcp,powershell.exe,ProcessGuid={47ab858c-e374-5eac-d803-000000000400},Same child PowerShell connected to NASHUA WinRM port 5985,Correlated,Lateral Movement,Strong source-side,HOSTJSON:90586,Explicit UtcTime,Low
2020-05-02T03:09:23Z,2020-05-01 23:09:23,Identity / Authentication,Security EID 4624,NASHUA.dmevals.local,pbeesly,,,,TargetLogonId=0x85aad2,Kerberos network logon for pbeesly on NASHUA,Observed,Lateral Movement,Moderate cross-host,HOSTJSON:90461,EventTime + 4h inferred,Medium
2020-05-02T03:09:23.885Z,,Endpoint / Windows,Sysmon EID 1,NASHUA.dmevals.local,DMEVALS\pbeesly,,,wsmprovhost.exe,LogonId=0x85aad2,wsmprovhost.exe executed under exact target logon session,Correlated,Lateral Movement / Remote Execution,Strong target-side,HOSTJSON:90531,Explicit UtcTime,Low
2020-05-02T03:10:23Z,2020-05-01 23:10:23,Identity / Authentication,Security EID 4624,NASHUA.dmevals.local,pbeesly,10.0.1.4,,,TargetLogonId=0x861a79,Kerberos network logon from SCRANTON address 10.0.1.4,Observed,Lateral Movement,Strong,HOSTJSON:92330,EventTime + 4h inferred,Medium
2020-05-02T03:10:23Z,2020-05-01 23:10:23,Identity / Authentication,Security EID 5140/5145,NASHUA.dmevals.local,pbeesly,10.0.1.4,ADMIN$\Temp\python.exe,,SubjectLogonId=0x861a79,ADMIN$ accessed; Temp\python.exe access check requested ReadAttributes only — not proof of write/copy,Observed with limitation,Lateral Movement,Strong session,HOSTJSON:92334;HOSTJSON:92335,EventTime + 4h inferred,Medium
2020-05-02T03:11:18Z,2020-05-01 23:11:18,Identity / Authentication,Security EID 4624/5145,NASHUA.dmevals.local,pbeesly,10.0.1.4,ADMIN$\PSEXESVC.exe,,LogonId=0x866b2c,Network logon followed by PSEXESVC.exe access including WriteData and AppendData,Correlated,Lateral Movement,Strong,HOSTJSON:93856;HOSTJSON:93862,EventTime + 4h inferred,Medium
2020-05-02T03:11:39Z,2020-05-01 23:11:39,Identity / Endpoint,Security EID 5145 + System EID 7045,NASHUA.dmevals.local,pbeesly,10.0.1.4,IPC$\svcctl,PSEXESVC,LogonId=0x866b2c; Service=PSEXESVC,svcctl access followed by PSEXESVC service installation as LocalSystem,Correlated,Lateral Movement / Remote Execution,Strong overall,HOSTJSON:94190;HOSTJSON:94192,EventTime + 4h inferred,Medium
2020-05-02T03:15:03.704Z,,Endpoint / Windows,Sysmon EID 1,NASHUA.dmevals.local,NT AUTHORITY\SYSTEM,,,PSEXESVC.exe,ProcessGuid={5aa8ec29-e5b7-5eac-7603-000000000400},PSEXESVC.exe executed as SYSTEM,Observed,Lateral Movement / Remote Execution,Strong contextual,HOSTJSON:102363,Explicit UtcTime,Low
