relative_path	size_bytes	sha256	source_type	original_modified
00-package-metadata.json	2154	852c3d2d9cb2232c10248d015a8f5f5cdfa9e529583aea101fbe0bc1f2c36a74	synthetic generator	No
01-directory-audit.jsonl	21977	0d60d0201bc97303b09efe2874933cb9e7adebbd29a7eeacead030a07bea14df	synthetic generator	No
02-application-objects.json	5133	62bcf3a49551d39279acb6626bad4e7b785976629186607cba87b198a13e493c	synthetic generator	No
03-service-principal-objects.json	5498	11036a4698f5022919ecc49d7f170eac9ea2237560b8ae4bd65aa72429feb631	synthetic generator	No
04-oauth2-permission-grants.json	891	5006cf451bd298cc60334562067c979c9128ec3220274d83a08bd01b36bc637b	synthetic generator	No
05-app-role-assignments.json	2543	dc9c5183b797f0bfca3659afdbf0421a39c70066fb1ae8360bf35b800e2ea058	synthetic generator	No
06-directory-role-assignments.json	576	95e1cd77b2facb8c0634a84d99cf694bc019b7bf3ed2e1e1d8f4ef022b1df81a	synthetic generator	No
07-credential-metadata.json	2813	8d7f7553c800d47dd7f2989505e68189a32121feb92b3c821d43f47443facfc1	synthetic generator	No
08-user-signins.jsonl	2179	a13b4376052e4f2c9c9795b20ebb11ae0bba3d1032770b793a37b6f1c56df75d	synthetic generator	No
09-service-principal-signins.jsonl	5595	3631cc6f3ed5505faf901ff11845e5a6b24daa7c41bb20ecc8bac2ee44c9f36c	synthetic generator	No
10-api-and-resource-activity.jsonl	8426	b35cc852e59ba049eb28ccb7f8ce5eeba0fdf330be1a889b5829936c91479b62	synthetic generator	No
11-business-and-governance-context.json	3005	64c3dfb6cddd68e2b6ef5891db14069d94e06cde2185d5699d4ed7726e0d0635	synthetic generator	No
12-platform-risk-signals.jsonl	527	1c2cbe8c7a1cc2cff378fab30bad777e543c18c860da444dc4348675922435b2	synthetic generator	No
README-SYNTHETIC.md	400	81784f5dc01ee5d8a2b99980dfc564b09a0ec0519a37061ef234e3001787a7ac	synthetic generator	No
SHA256SUMS.tsv	1557	14e38cf535ebe5ccff8043401d2b02e24e4ae035954d20490230937806a53c91	synthetic generator	No
ground-truth/simulation-ground-truth.json	1234	a8023e613efae3b224455153591ec7f8ce2bab2f43ae77e9d20edee716d76202	synthetic generator	No
